ppo, pdo, tpo, tdo
an aunt got a meal for a corporation .,an aunt got a corporation a meal .,the student brought the crystal to the king .,the student brought the king the crystal .
a guy got a knife for a winner .,a guy got a winner a knife .,the student brought the crystal to the king .,the student brought the king the crystal .
a boy got a cigarette for an author .,a boy got an author a cigarette .,the student brought the crystal to the king .,the student brought the king the crystal .
a physician got a knife for a business .,a physician got a business a knife .,the student brought the crystal to the king .,the student brought the king the crystal .
a winner got a wire for an administration .,a winner got an administration a wire .,the student brought the crystal to the king .,the student brought the king the crystal .
a secretary got a cheese for a band .,a secretary got a band a cheese .,the student brought the crystal to the king .,the student brought the king the crystal .
an author got a juice for a boy .,an author got a boy a juice .,the student brought the crystal to the king .,the student brought the king the crystal .
a pilot got a candy for a company .,a pilot got a company a candy .,the student brought the crystal to the king .,the student brought the king the crystal .
a boy got a tea for a corporation .,a boy got a corporation a tea .,the student brought the crystal to the king .,the student brought the king the crystal .
a mother got a television for an army .,a mother got an army a television .,the student brought the crystal to the king .,the student brought the king the crystal .
the guy got the beer for the band .,the guy got the band the beer .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the father got the chicken for the physician .,the father got the physician the chicken .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the daughter got the beer for the business .,the daughter got the business the beer .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the doctor got the juice for the corporation .,the doctor got the corporation the juice .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the priest got the juice for the band .,the priest got the band the juice .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the champion got the beer for the administration .,the champion got the administration the beer .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the mayor got the bowl for the army .,the mayor got the army the bowl .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the sheriff got the crystal for the chief .,the sheriff got the chief the crystal .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the teacher got the machine for the hero .,the teacher got the hero the machine .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
the mayor got the chicken for the army .,the mayor got the army the chicken .,a prince gave a coffee to a worker .,a prince gave a worker a coffee .
a cousin took a flower to a buddy .,a cousin took a buddy a flower .,the hero got the chocolate for the band .,the hero got the band the chocolate .
a lady took an iron to an employee .,a lady took an employee an iron .,the hero got the chocolate for the band .,the hero got the band the chocolate .
a kid took a machine to a reader .,a kid took a reader a machine .,the hero got the chocolate for the band .,the hero got the band the chocolate .
a priest took a bag to a child .,a priest took a child a bag .,the hero got the chocolate for the band .,the hero got the band the chocolate .
a guy took a camera to a boy .,a guy took a boy a camera .,the hero got the chocolate for the band .,the hero got the band the chocolate .
