pa, pp, ta, tp
the worker struck the sheriff .,the sheriff was struck by the worker .,a girl strikes a doctor .,a doctor is struck by a girl .
the cop struck the mayor .,the mayor was struck by the cop .,a girl strikes a doctor .,a doctor is struck by a girl .
the writer struck the father .,the father was struck by the writer .,a girl strikes a doctor .,a doctor is struck by a girl .
the hero struck the worker .,the worker was struck by the hero .,a girl strikes a doctor .,a doctor is struck by a girl .
the teacher struck the aunt .,the aunt was struck by the teacher .,a girl strikes a doctor .,a doctor is struck by a girl .
the president struck the brother .,the brother was struck by the president .,a girl strikes a doctor .,a doctor is struck by a girl .
the soldier struck the author .,the author was struck by the soldier .,a girl strikes a doctor .,a doctor is struck by a girl .
the author struck the bishop .,the bishop was struck by the author .,a girl strikes a doctor .,a doctor is struck by a girl .
the pilot struck the bishop .,the bishop was struck by the pilot .,a girl strikes a doctor .,a doctor is struck by a girl .
the actor struck the soldier .,the soldier was struck by the actor .,a girl strikes a doctor .,a doctor is struck by a girl .
the prince punches the professor .,the professor is punched by the prince .,a mayor punched a kid .,a kid was punched by a mayor .
the woman punches the opponent .,the opponent is punched by the woman .,a mayor punched a kid .,a kid was punched by a mayor .
the friend punches the opponent .,the opponent is punched by the friend .,a mayor punched a kid .,a kid was punched by a mayor .
the attorney punches the professor .,the professor is punched by the attorney .,a mayor punched a kid .,a kid was punched by a mayor .
the actor punches the lady .,the lady is punched by the actor .,a mayor punched a kid .,a kid was punched by a mayor .
the friend punches the guy .,the guy is punched by the friend .,a mayor punched a kid .,a kid was punched by a mayor .
the friend punches the winner .,the winner is punched by the friend .,a mayor punched a kid .,a kid was punched by a mayor .
the manager punches the author .,the author is punched by the manager .,a mayor punched a kid .,a kid was punched by a mayor .
the professor punches the secretary .,the secretary is punched by the professor .,a mayor punched a kid .,a kid was punched by a mayor .
the minister punches the girl .,the girl is punched by the minister .,a mayor punched a kid .,a kid was punched by a mayor .
a teacher beat a lady .,a lady was beaten by a teacher .,the adult beats the priest .,the priest is beaten by the adult .
a husband beat a woman .,a woman was beaten by a husband .,the adult beats the priest .,the priest is beaten by the adult .
a reader beat a soldier .,a soldier was beaten by a reader .,the adult beats the priest .,the priest is beaten by the adult .
a scientist beat a guest .,a guest was beaten by a scientist .,the adult beats the priest .,the priest is beaten by the adult .
a colonel beat a buddy .,a buddy was beaten by a colonel .,the adult beats the priest .,the priest is beaten by the adult .
a singer beat a student .,a student was beaten by a singer .,the adult beats the priest .,the priest is beaten by the adult .
a friend beat a princess .,a princess was beaten by a friend .,the adult beats the priest .,the priest is beaten by the adult .
a colonel beat an actress .,an actress was beaten by a colonel .,the adult beats the priest .,the priest is beaten by the adult .
a winner beat a reader .,a reader was beaten by a winner .,the adult beats the priest .,the priest is beaten by the adult .
a lawyer beat an attorney .,an attorney was beaten by a lawyer .,the adult beats the priest .,the priest is beaten by the adult .
a secretary understands a husband .,a husband is understood by a secretary .,the attorney understood the bishop .,the bishop was understood by the attorney .
a mother understands a daughter .,a daughter is understood by a mother .,the attorney understood the bishop .,the bishop was understood by the attorney .
a kid understands a friend .,a friend is understood by a kid .,the attorney understood the bishop .,the bishop was understood by the attorney .
an aunt understands a cousin .,a cousin is understood by an aunt .,the attorney understood the bishop .,the bishop was understood by the attorney .
a kid understands a daughter .,a daughter is understood by a kid .,the attorney understood the bishop .,the bishop was understood by the attorney .
a mother understands a soldier .,a soldier is understood by a mother .,the attorney understood the bishop .,the bishop was understood by the attorney .
a partner understands an actor .,an actor is understood by a partner .,the attorney understood the bishop .,the bishop was understood by the attorney .
a pilot understands an actress .,an actress is understood by a pilot .,the attorney understood the bishop .,the bishop was understood by the attorney .
a man understands an author .,an author is understood by a man .,the attorney understood the bishop .,the bishop was understood by the attorney .
a guest understands a buddy .,a buddy is understood by a guest .,the attorney understood the bishop .,the bishop was understood by the attorney .
the mother forgave the administration .,the administration was forgiven by the mother .,a guest forgives a company .,a company is forgiven by a guest .
the minister forgave the boy .,the boy was forgiven by the minister .,a guest forgives a company .,a company is forgiven by a guest .
the manager forgave the club .,the club was forgiven by the manager .,a guest forgives a company .,a company is forgiven by a guest .
the winner forgave the manager .,the manager was forgiven by the winner .,a guest forgives a company .,a company is forgiven by a guest .
the lawyer forgave the reader .,the reader was forgiven by the lawyer .,a guest forgives a company .,a company is forgiven by a guest .
the chief forgave the physician .,the physician was forgiven by the chief .,a guest forgives a company .,a company is forgiven by a guest .
the aunt forgave the colonel .,the colonel was forgiven by the aunt .,a guest forgives a company .,a company is forgiven by a guest .
the boy forgave the daughter .,the daughter was forgiven by the boy .,a guest forgives a company .,a company is forgiven by a guest .
the brother forgave the army .,the army was forgiven by the brother .,a guest forgives a company .,a company is forgiven by a guest .
the worker forgave the army .,the army was forgiven by the worker .,a guest forgives a company .,a company is forgiven by a guest .
a bishop catches a key .,a key is caught by a bishop .,the actress caught the teacher .,the teacher was caught by the actress .
a leader catches a bishop .,a bishop is caught by a leader .,the actress caught the teacher .,the teacher was caught by the actress .
a father catches a salad .,a salad is caught by a father .,the actress caught the teacher .,the teacher was caught by the actress .
a chief catches a tea .,a tea is caught by a chief .,the actress caught the teacher .,the teacher was caught by the actress .
a hero catches a pie .,a pie is caught by a hero .,the actress caught the teacher .,the teacher was caught by the actress .
a minister catches a telephone .,a telephone is caught by a minister .,the actress caught the teacher .,the teacher was caught by the actress .
a colonel catches a candy .,a candy is caught by a colonel .,the actress caught the teacher .,the teacher was caught by the actress .
a reader catches a meal .,a meal is caught by a reader .,the actress caught the teacher .,the teacher was caught by the actress .
a winner catches a tea .,a tea is caught by a winner .,the actress caught the teacher .,the teacher was caught by the actress .
a princess catches a chicken .,a chicken is caught by a princess .,the actress caught the teacher .,the teacher was caught by the actress .
the prince beat the daughter .,the daughter was beaten by the prince .,a teacher beats a guest .,a guest is beaten by a teacher .
the attorney beat the hero .,the hero was beaten by the attorney .,a teacher beats a guest .,a guest is beaten by a teacher .
the reader beat the kid .,the kid was beaten by the reader .,a teacher beats a guest .,a guest is beaten by a teacher .
the prince beat the daughter .,the daughter was beaten by the prince .,a teacher beats a guest .,a guest is beaten by a teacher .
the cousin beat the reader .,the reader was beaten by the cousin .,a teacher beats a guest .,a guest is beaten by a teacher .
the lawyer beat the soldier .,the soldier was beaten by the lawyer .,a teacher beats a guest .,a guest is beaten by a teacher .
the aunt beat the chief .,the chief was beaten by the aunt .,a teacher beats a guest .,a guest is beaten by a teacher .
the manager beat the captain .,the captain was beaten by the manager .,a teacher beats a guest .,a guest is beaten by a teacher .
the hero beat the worker .,the worker was beaten by the hero .,a teacher beats a guest .,a guest is beaten by a teacher .
the writer beat the cop .,the cop was beaten by the writer .,a teacher beats a guest .,a guest is beaten by a teacher .
the lady prepared the coffee .,the coffee was prepared by the lady .,a bishop prepares a juice .,a juice is prepared by a bishop .
the teacher prepared the candy .,the candy was prepared by the teacher .,a bishop prepares a juice .,a juice is prepared by a bishop .
the boy prepared the tea .,the tea was prepared by the boy .,a bishop prepares a juice .,a juice is prepared by a bishop .
the sheriff prepared the wire .,the wire was prepared by the sheriff .,a bishop prepares a juice .,a juice is prepared by a bishop .
the chief prepared the tea .,the tea was prepared by the chief .,a bishop prepares a juice .,a juice is prepared by a bishop .
the brother prepared the chocolate .,the chocolate was prepared by the brother .,a bishop prepares a juice .,a juice is prepared by a bishop .
the worker prepared the coffee .,the coffee was prepared by the worker .,a bishop prepares a juice .,a juice is prepared by a bishop .
the pilot prepared the meal .,the meal was prepared by the pilot .,a bishop prepares a juice .,a juice is prepared by a bishop .
the adult prepared the tea .,the tea was prepared by the adult .,a bishop prepares a juice .,a juice is prepared by a bishop .
the professor prepared the television .,the television was prepared by the professor .,a bishop prepares a juice .,a juice is prepared by a bishop .
the father wrapped the gun .,the gun was wrapped by the father .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the soldier wrapped the wire .,the wire was wrapped by the soldier .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the mayor wrapped the newspaper .,the newspaper was wrapped by the mayor .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the brother wrapped the engine .,the engine was wrapped by the brother .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the pilot wrapped the guitar .,the guitar was wrapped by the pilot .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the hero wrapped the cigarette .,the cigarette was wrapped by the hero .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the president wrapped the coat .,the coat was wrapped by the president .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the manager wrapped the card .,the card was wrapped by the manager .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the lawyer wrapped the computer .,the computer was wrapped by the lawyer .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the mayor wrapped the book .,the book was wrapped by the mayor .,a bishop wraps a bowl .,a bowl is wrapped by a bishop .
the colonel led the band .,the band was led by the colonel .,a professor leads a club .,a club is led by a professor .
the pilot led the army .,the army was led by the pilot .,a professor leads a club .,a club is led by a professor .
the adult led the business .,the business was led by the adult .,a professor leads a club .,a club is led by a professor .
the employer led the corporation .,the corporation was led by the employer .,a professor leads a club .,a club is led by a professor .
the winner led the band .,the band was led by the winner .,a professor leads a club .,a club is led by a professor .
the lady led the business .,the business was led by the lady .,a professor leads a club .,a club is led by a professor .
the king led the administration .,the administration was led by the king .,a professor leads a club .,a club is led by a professor .
the bishop led the corporation .,the corporation was led by the bishop .,a professor leads a club .,a club is led by a professor .
the princess led the army .,the army was led by the princess .,a professor leads a club .,a club is led by a professor .
the singer led the administration .,the administration was led by the singer .,a professor leads a club .,a club is led by a professor .
an uncle left a book .,a book was left by an uncle .,the partner leaves the card .,the card is left by the partner .
a mother left a television .,a television was left by a mother .,the partner leaves the card .,the card is left by the partner .
a writer left a plate .,a plate was left by a writer .,the partner leaves the card .,the card is left by the partner .
an author left a computer .,a computer was left by an author .,the partner leaves the card .,the card is left by the partner .
an aunt left a newspaper .,a newspaper was left by an aunt .,the partner leaves the card .,the card is left by the partner .
a captain left a pot .,a pot was left by a captain .,the partner leaves the card .,the card is left by the partner .
a writer left a knife .,a knife was left by a writer .,the partner leaves the card .,the card is left by the partner .
a mother left a plate .,a plate was left by a mother .,the partner leaves the card .,the card is left by the partner .
a mother left a gun .,a gun was left by a mother .,the partner leaves the card .,the card is left by the partner .
a daughter left a bottle .,a bottle was left by a daughter .,the partner leaves the card .,the card is left by the partner .
the cop breaks the motor .,the motor is broken by the cop .,a teacher broke a ball .,a ball was broken by a teacher .
the lady breaks the iron .,the iron is broken by the lady .,a teacher broke a ball .,a ball was broken by a teacher .
the king breaks the jacket .,the jacket is broken by the king .,a teacher broke a ball .,a ball was broken by a teacher .
the candidate breaks the anchor .,the anchor is broken by the candidate .,a teacher broke a ball .,a ball was broken by a teacher .
the president breaks the computer .,the computer is broken by the president .,a teacher broke a ball .,a ball was broken by a teacher .
the doctor breaks the card .,the card is broken by the doctor .,a teacher broke a ball .,a ball was broken by a teacher .
the worker breaks the coat .,the coat is broken by the worker .,a teacher broke a ball .,a ball was broken by a teacher .
the actor breaks the log .,the log is broken by the actor .,a teacher broke a ball .,a ball was broken by a teacher .
the child breaks the camera .,the camera is broken by the child .,a teacher broke a ball .,a ball was broken by a teacher .
the brother breaks the plate .,the plate is broken by the brother .,a teacher broke a ball .,a ball was broken by a teacher .
the company helps the king .,the king is helped by the company .,a hero helped a soldier .,a soldier was helped by a hero .
the captain helps the buddy .,the buddy is helped by the captain .,a hero helped a soldier .,a soldier was helped by a hero .
the company helps the candidate .,the candidate is helped by the company .,a hero helped a soldier .,a soldier was helped by a hero .
the uncle helps the sheriff .,the sheriff is helped by the uncle .,a hero helped a soldier .,a soldier was helped by a hero .
the chief helps the actor .,the actor is helped by the chief .,a hero helped a soldier .,a soldier was helped by a hero .
the corporation helps the scientist .,the scientist is helped by the corporation .,a hero helped a soldier .,a soldier was helped by a hero .
the partner helps the president .,the president is helped by the partner .,a hero helped a soldier .,a soldier was helped by a hero .
the employee helps the attorney .,the attorney is helped by the employee .,a hero helped a soldier .,a soldier was helped by a hero .
the daughter helps the princess .,the princess is helped by the daughter .,a hero helped a soldier .,a soldier was helped by a hero .
the company helps the partner .,the partner is helped by the company .,a hero helped a soldier .,a soldier was helped by a hero .
a cop comforts a champion .,a champion is comforted by a cop .,the father comforted the bishop .,the bishop was comforted by the father .
an author comforts a chief .,a chief is comforted by an author .,the father comforted the bishop .,the bishop was comforted by the father .
