pa, pp, ta, tp
a doctor follows a doctor .,a doctor is followed by a doctor .,the physician led the physician .,the physician was led by the physician .
a physician follows a physician .,a physician is followed by a physician .,the doctor led the doctor .,the doctor was led by the doctor .
the doctor helped the doctor .,the doctor was helped by the doctor .,a physician asks a physician .,a physician is asked by a physician .
the physician helps the physician .,the physician is helped by the physician .,a doctor asked a doctor .,a doctor was asked by a doctor .
the doctor helps the singer .,the singer is helped by the doctor .,a physician asked a band .,a band was asked by a physician .
the doctor helped the colonel .,the colonel was helped by the doctor .,a physician asks an army .,an army is asked by a physician .
the physician helped the singer .,the singer was helped by the physician .,a doctor asks a band .,a band is asked by a doctor .
the physician helped the colonel .,the colonel was helped by the physician .,a doctor asks an army .,an army is asked by a doctor .
the doctor catches the doctor .,the doctor is caught by the doctor .,a physician chased a physician .,a physician was chased by a physician .
a physician catches a physician .,a physician is caught by a physician .,the doctor chased the doctor .,the doctor was chased by the doctor .
the doctor forgot the doctor .,the doctor was forgotten by the doctor .,a physician forgives a physician .,a physician is forgiven by a physician .
the physician forgets the physician .,the physician is forgotten by the physician .,a doctor forgave a doctor .,a doctor was forgiven by a doctor .
the doctor understands the doctor .,the doctor is understood by the doctor .,a physician forgave a physician .,a physician was forgiven by a physician .
the physician understood the physician .,the physician was understood by the physician .,a doctor forgives a doctor .,a doctor is forgiven by a doctor .
the doctor beat the doctor .,the doctor was beaten by the doctor .,a physician hurts a physician .,a physician is hurt by a physician .
a physician beat a physician .,a physician was beaten by a physician .,the doctor hurts the doctor .,the doctor is hurt by the doctor .
the doctor kills the doctor .,the doctor is killed by the doctor .,a physician hurt a physician .,a physician was hurt by a physician .
the physician kills the physician .,the physician is killed by the physician .,a doctor hurt a doctor .,a doctor was hurt by a doctor .
a doctor forgave a doctor .,a doctor was forgiven by a doctor .,the physician accepts the physician .,the physician is accepted by the physician .
the physician forgives the physician .,the physician is forgiven by the physician .,a doctor accepted a doctor .,a doctor was accepted by a doctor .
a doctor understood a doctor .,a doctor was understood by a doctor .,the physician accepts the physician .,the physician is accepted by the physician .
the physician understood the physician .,the physician was understood by the physician .,a doctor accepts a doctor .,a doctor is accepted by a doctor .
a doctor destroyed a doctor .,a doctor was destroyed by a doctor .,the physician breaks the physician .,the physician is broken by the physician .
a physician destroyed a physician .,a physician was destroyed by a physician .,the doctor breaks the doctor .,the doctor is broken by the doctor .
the doctor joins the doctor .,the doctor is joined by the doctor .,a physician left a physician .,a physician was left by a physician .
a physician joins a physician .,a physician is joined by a physician .,the doctor left the doctor .,the doctor was left by the doctor .
a doctor forgets a doctor .,a doctor is forgotten by a doctor .,the physician left the physician .,the physician was left by the physician .
the physician forgets the physician .,the physician is forgotten by the physician .,a doctor left a doctor .,a doctor was left by a doctor .
a doctor helps a doctor .,a doctor is helped by a doctor .,the physician used the physician .,the physician was used by the physician .
a physician helped a physician .,a physician was helped by a physician .,the doctor uses the doctor .,the doctor is used by the doctor .
the doctor helps the singer .,the singer is helped by the doctor .,a physician used a band .,a band was used by a physician .
a doctor helped a colonel .,a colonel was helped by a doctor .,the physician uses the army .,the army is used by the physician .
the physician helps the singer .,the singer is helped by the physician .,a doctor used a band .,a band was used by a doctor .
the physician helps the colonel .,the colonel is helped by the physician .,a doctor used an army .,an army was used by a doctor .
