ppo, pdo, tpo, tdo
a mayor purchased a gun for a corporation .,a mayor purchased a corporation a gun .,the rich physician sent the cheese to the mother .,the rich physician sent the mother the cheese .
a soldier bought a crystal for a guy .,a soldier bought a guy a crystal .,the weird physician sent the cheese to the mother .,the weird physician sent the mother the cheese .
a son bought a telephone for a guest .,a son bought a guest a telephone .,the nice physician sent the cheese to the mother .,the nice physician sent the mother the cheese .
a boy made a television for a student .,a boy made a student a television .,the mad physician sent the cheese to the mother .,the mad physician sent the mother the cheese .
a chief saved a camera for an administration .,a chief saved an administration a camera .,the responsible physician sent the cheese to the mother .,the responsible physician sent the mother the cheese .
a minister found a meal for a club .,a minister found a club a meal .,the jewish physician sent the cheese to the mother .,the jewish physician sent the mother the cheese .
a girl found a coffee for a princess .,a girl found a princess a coffee .,the lonely physician sent the cheese to the mother .,the lonely physician sent the mother the cheese .
a leader left a pie for a chief .,a leader left a chief a pie .,the rich physician sent the cheese to the mother .,the rich physician sent the mother the cheese .
an employee left a pot for a sheriff .,an employee left a sheriff a pot .,the proud physician sent the cheese to the mother .,the proud physician sent the mother the cheese .
an attorney saved a bowl for a manager .,an attorney saved a manager a bowl .,the sexy physician sent the cheese to the mother .,the sexy physician sent the mother the cheese .
a secretary sold a juice to a manager .,a secretary sold a manager a juice .,the cool doctor delivered the anchor for the kid .,the cool doctor delivered the kid the anchor .
a buddy promised a meal to a priest .,a buddy promised a priest a meal .,the handsome doctor delivered the anchor for the kid .,the handsome doctor delivered the kid the anchor .
a cop showed a book to a bishop .,a cop showed a bishop a book .,the generous doctor delivered the anchor for the kid .,the generous doctor delivered the kid the anchor .
a captain threw a pie to a partner .,a captain threw a partner a pie .,the funny doctor delivered the anchor for the kid .,the funny doctor delivered the kid the anchor .
a parent supplied a meal to a hero .,a parent supplied a hero a meal .,the powerful doctor delivered the anchor for the kid .,the powerful doctor delivered the kid the anchor .
a singer fed a chicken to a chief .,a singer fed a chief a chicken .,the special doctor delivered the anchor for the kid .,the special doctor delivered the kid the anchor .
an aunt sold a beer to a mayor .,an aunt sold a mayor a beer .,the sweet doctor delivered the anchor for the kid .,the sweet doctor delivered the kid the anchor .
a princess supplied a cheese to a club .,a princess supplied a club a cheese .,the weird doctor delivered the anchor for the kid .,the weird doctor delivered the kid the anchor .
a girl promised a chocolate to a pilot .,a girl promised a pilot a chocolate .,the lonely doctor delivered the anchor for the kid .,the lonely doctor delivered the kid the anchor .
a son fed a chicken to a friend .,a son fed a friend a chicken .,the criminal doctor delivered the anchor for the kid .,the criminal doctor delivered the kid the anchor .
a pilot drew a crystal for a company .,a pilot drew a company a crystal .,the jewish hero brought the book to the partner .,the jewish hero brought the partner the book .
a captain drew a crystal for a daughter .,a captain drew a daughter a crystal .,the religious hero brought the book to the partner .,the religious hero brought the partner the book .
a kid purchased an anchor for an army .,a kid purchased an army an anchor .,the sensitive hero brought the book to the partner .,the sensitive hero brought the partner the book .
an actor bought a coffee for a father .,an actor bought a father a coffee .,the proud hero brought the book to the partner .,the proud hero brought the partner the book .
