pa, pp, ta, tp
the pale woman judged the parent .,the parent was judged by the pale woman .,a candidate leads a company .,a company is led by a candidate .
the english administration protected the mother .,the mother was protected by the english administration .,a candidate leads a company .,a company is led by a candidate .
the fantastic hero forgot the tea .,the tea was forgotten by the fantastic hero .,a candidate leads a company .,a company is led by a candidate .
the criminal chief tasted the cheese .,the cheese was tasted by the criminal chief .,a candidate leads a company .,a company is led by a candidate .
the violent pilot chased the bishop .,the bishop was chased by the violent pilot .,a candidate leads a company .,a company is led by a candidate .
the awful uncle smelled the computer .,the computer was smelled by the awful uncle .,a candidate leads a company .,a company is led by a candidate .
the tired guy discovered the bowl .,the bowl was discovered by the tired guy .,a candidate leads a company .,a company is led by a candidate .
the terrible teacher described the mother .,the mother was described by the terrible teacher .,a candidate leads a company .,a company is led by a candidate .
the excellent army used the plate .,the plate was used by the excellent army .,a candidate leads a company .,a company is led by a candidate .
the afraid actor destroyed the tea .,the tea was destroyed by the afraid actor .,a candidate leads a company .,a company is led by a candidate .
a brave mayor describes a plate .,a plate is described by a brave mayor .,the friend embraced the soldier .,the soldier was embraced by the friend .
a horrible candidate kills a hero .,a hero is killed by a horrible candidate .,the friend embraced the soldier .,the soldier was embraced by the friend .
a bad sheriff hurries a kid .,a kid is hurried by a bad sheriff .,the friend embraced the soldier .,the soldier was embraced by the friend .
an awesome employer selects a salad .,a salad is selected by an awesome employer .,the friend embraced the soldier .,the soldier was embraced by the friend .
a peaceful woman smells a meal .,a meal is smelled by a peaceful woman .,the friend embraced the soldier .,the soldier was embraced by the friend .
a beautiful guy wraps a key .,a key is wrapped by a beautiful guy .,the friend embraced the soldier .,the soldier was embraced by the friend .
an awesome attorney grabs an actor .,an actor is grabbed by an awesome attorney .,the friend embraced the soldier .,the soldier was embraced by the friend .
a tough parent grabs a salad .,a salad is grabbed by a tough parent .,the friend embraced the soldier .,the soldier was embraced by the friend .
a dumb student grabs a candy .,a candy is grabbed by a dumb student .,the friend embraced the soldier .,the soldier was embraced by the friend .
a young leader forgets a crystal .,a crystal is forgotten by a young leader .,the friend embraced the soldier .,the soldier was embraced by the friend .
the critical mayor understands the princess .,the princess is understood by the critical mayor .,a buddy kissed a child .,a child was kissed by a buddy .
the aggressive aunt leaves the camera .,the camera is left by the aggressive aunt .,a buddy kissed a child .,a child was kissed by a buddy .
the wise sheriff helps the author .,the author is helped by the wise sheriff .,a buddy kissed a child .,a child was kissed by a buddy .
the athletic opponent hurries the reader .,the reader is hurried by the athletic opponent .,a buddy kissed a child .,a child was kissed by a buddy .
the beautiful professor tastes the cheese .,the cheese is tasted by the beautiful professor .,a buddy kissed a child .,a child was kissed by a buddy .
the helpful scientist eats the salad .,the salad is eaten by the helpful scientist .,a buddy kissed a child .,a child was kissed by a buddy .
the english aunt carries the salad .,the salad is carried by the english aunt .,a buddy kissed a child .,a child was kissed by a buddy .
the chinese teacher forgets the coffee .,the coffee is forgotten by the chinese teacher .,a buddy kissed a child .,a child was kissed by a buddy .
the beautiful sheriff selects the bishop .,the bishop is selected by the beautiful sheriff .,a buddy kissed a child .,a child was kissed by a buddy .
the honest actor teaches the worker .,the worker is taught by the honest actor .,a buddy kissed a child .,a child was kissed by a buddy .
the jewish girl comforts the colonel .,the colonel is comforted by the jewish girl .,a doctor drank a juice .,a juice was drunk by a doctor .
the normal child washes the instrument .,the instrument is washed by the normal child .,a doctor drank a juice .,a juice was drunk by a doctor .
the busy buddy tastes the salad .,the salad is tasted by the busy buddy .,a doctor drank a juice .,a juice was drunk by a doctor .
the reliable hero kills the girl .,the girl is killed by the reliable hero .,a doctor drank a juice .,a juice was drunk by a doctor .
the foreign prince grabs the salad .,the salad is grabbed by the foreign prince .,a doctor drank a juice .,a juice was drunk by a doctor .
the intelligent aunt tastes the chicken .,the chicken is tasted by the intelligent aunt .,a doctor drank a juice .,a juice was drunk by a doctor .
the wise partner follows the business .,the business is followed by the wise partner .,a doctor drank a juice .,a juice was drunk by a doctor .
the normal champion asks the king .,the king is asked by the normal champion .,a doctor drank a juice .,a juice was drunk by a doctor .
the willing captain catches the jacket .,the jacket is caught by the willing captain .,a doctor drank a juice .,a juice was drunk by a doctor .
the fair cop tastes the chocolate .,the chocolate is tasted by the fair cop .,a doctor drank a juice .,a juice was drunk by a doctor .
a cute hero bothers a colonel .,a colonel is bothered by a cute hero .,the minister purchased the beer .,the beer was purchased by the minister .
a wonderful cousin selects a cheese .,a cheese is selected by a wonderful cousin .,the minister purchased the beer .,the beer was purchased by the minister .
a nice colonel wraps an engine .,an engine is wrapped by a nice colonel .,the minister purchased the beer .,the beer was purchased by the minister .
a sweet champion prepares a book .,a book is prepared by a sweet champion .,the minister purchased the beer .,the beer was purchased by the minister .
a ill professor catches a box .,a box is caught by a ill professor .,the minister purchased the beer .,the beer was purchased by the minister .
a bright cop raises a cousin .,a cousin is raised by a bright cop .,the minister purchased the beer .,the beer was purchased by the minister .
a holy mother smells a salad .,a salad is smelled by a holy mother .,the minister purchased the beer .,the beer was purchased by the minister .
a violent teacher comforts a partner .,a partner is comforted by a violent teacher .,the minister purchased the beer .,the beer was purchased by the minister .
a funny writer catches an adult .,an adult is caught by a funny writer .,the minister purchased the beer .,the beer was purchased by the minister .
an aggressive attorney hurts a club .,a club is hurt by an aggressive attorney .,the minister purchased the beer .,the beer was purchased by the minister .
a special parent bothers a band .,a band is bothered by a special parent .,the guy removed the motor .,the motor was removed by the guy .
a normal champion kills a physician .,a physician is killed by a normal champion .,the guy removed the motor .,the motor was removed by the guy .
a patient nurse judges a corporation .,a corporation is judged by a patient nurse .,the guy removed the motor .,the motor was removed by the guy .
a southern writer protects a hero .,a hero is protected by a southern writer .,the guy removed the motor .,the motor was removed by the guy .
a powerful father grabs a candy .,a candy is grabbed by a powerful father .,the guy removed the motor .,the motor was removed by the guy .
a pretty cop smells a salad .,a salad is smelled by a pretty cop .,the guy removed the motor .,the motor was removed by the guy .
a creative pilot carries a tea .,a tea is carried by a creative pilot .,the guy removed the motor .,the motor was removed by the guy .
a guilty friend accepts an anchor .,an anchor is accepted by a guilty friend .,the guy removed the motor .,the motor was removed by the guy .
a serious king describes an anchor .,an anchor is described by a serious king .,the guy removed the motor .,the motor was removed by the guy .
a rich chief kisses a candidate .,a candidate is kissed by a rich chief .,the guy removed the motor .,the motor was removed by the guy .
the tough chief described the engine .,the engine was described by the tough chief .,a teacher carries a soldier .,a soldier is carried by a teacher .
the happy singer asked the writer .,the writer was asked by the happy singer .,a teacher carries a soldier .,a soldier is carried by a teacher .
the intelligent uncle bothered the actor .,the actor was bothered by the intelligent uncle .,a teacher carries a soldier .,a soldier is carried by a teacher .
the ill physician destroyed the tea .,the tea was destroyed by the ill physician .,a teacher carries a soldier .,a soldier is carried by a teacher .
the dumb bishop collected the motor .,the motor was collected by the dumb bishop .,a teacher carries a soldier .,a soldier is carried by a teacher .
the lonely guy left the key .,the key was left by the lonely guy .,a teacher carries a soldier .,a soldier is carried by a teacher .
the crazy child joined the mayor .,the mayor was joined by the crazy child .,a teacher carries a soldier .,a soldier is carried by a teacher .
the foreign son kept the juice .,the juice was kept by the foreign son .,a teacher carries a soldier .,a soldier is carried by a teacher .
the innocent son beat the father .,the father was beaten by the innocent son .,a teacher carries a soldier .,a soldier is carried by a teacher .
the helpful secretary judged the club .,the club was judged by the helpful secretary .,a teacher carries a soldier .,a soldier is carried by a teacher .
an excellent author removed a television .,a television was removed by an excellent author .,the parent discovers the candy .,the candy is discovered by the parent .
an attractive employer hurried a champion .,a champion was hurried by an attractive employer .,the parent discovers the candy .,the candy is discovered by the parent .
a gentle friend chased a business .,a business was chased by a gentle friend .,the parent discovers the candy .,the candy is discovered by the parent .
a glad worker judged a business .,a business was judged by a glad worker .,the parent discovers the candy .,the candy is discovered by the parent .
a glad singer embraced a wife .,a wife was embraced by a glad singer .,the parent discovers the candy .,the candy is discovered by the parent .
a critical secretary selected a coffee .,a coffee was selected by a critical secretary .,the parent discovers the candy .,the candy is discovered by the parent .
an evil employer punched a soldier .,a soldier was punched by an evil employer .,the parent discovers the candy .,the candy is discovered by the parent .
a terrible professor dragged a chief .,a chief was dragged by a terrible professor .,the parent discovers the candy .,the candy is discovered by the parent .
a sweet reader followed a singer .,a singer was followed by a sweet reader .,the parent discovers the candy .,the candy is discovered by the parent .
an emotional actress dragged a bottle .,a bottle was dragged by an emotional actress .,the parent discovers the candy .,the candy is discovered by the parent .
the brilliant parent tastes the meal .,the meal is tasted by the brilliant parent .,a doctor raised a tea .,a tea was raised by a doctor .
the aggressive author surprises the captain .,the captain is surprised by the aggressive author .,a doctor raised a tea .,a tea was raised by a doctor .
the sensitive man tastes the salad .,the salad is tasted by the sensitive man .,a doctor raised a tea .,a tea was raised by a doctor .
the creative candidate leads the business .,the business is led by the creative candidate .,a doctor raised a tea .,a tea was raised by a doctor .
the helpful buddy hurries the parent .,the parent is hurried by the helpful buddy .,a doctor raised a tea .,a tea was raised by a doctor .
the powerful mother eats the chocolate .,the chocolate is eaten by the powerful mother .,a doctor raised a tea .,a tea was raised by a doctor .
the illegal aunt smells the knife .,the knife is smelled by the illegal aunt .,a doctor raised a tea .,a tea was raised by a doctor .
the strong son uses the bowl .,the bowl is used by the strong son .,a doctor raised a tea .,a tea was raised by a doctor .
the silly bishop follows the corporation .,the corporation is followed by the silly bishop .,a doctor raised a tea .,a tea was raised by a doctor .
the religious worker removes the television .,the television is removed by the religious worker .,a doctor raised a tea .,a tea was raised by a doctor .
a modern mayor grabbed a newspaper .,a newspaper was grabbed by a modern mayor .,the teacher hurries the princess .,the princess is hurried by the teacher .
an insane actor drank a juice .,a juice was drunk by an insane actor .,the teacher hurries the princess .,the princess is hurried by the teacher .
a odd company protected a nurse .,a nurse was protected by a odd company .,the teacher hurries the princess .,the princess is hurried by the teacher .
an insane employer comforted a son .,a son was comforted by an insane employer .,the teacher hurries the princess .,the princess is hurried by the teacher .
a rough winner left a bowl .,a bowl was left by a rough winner .,the teacher hurries the princess .,the princess is hurried by the teacher .
a pretty champion dragged a machine .,a machine was dragged by a pretty champion .,the teacher hurries the princess .,the princess is hurried by the teacher .
a weird manager understood a writer .,a writer was understood by a weird manager .,the teacher hurries the princess .,the princess is hurried by the teacher .
an excellent attorney comforted an actor .,an actor was comforted by an excellent attorney .,the teacher hurries the princess .,the princess is hurried by the teacher .
a rich hero ate a meal .,a meal was eaten by a rich hero .,the teacher hurries the princess .,the princess is hurried by the teacher .
a kind daughter understood a buddy .,a buddy was understood by a kind daughter .,the teacher hurries the princess .,the princess is hurried by the teacher .
the reliable guy forgives the actor .,the actor is forgiven by the reliable guy .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the sophisticated pilot strikes the actress .,the actress is struck by the sophisticated pilot .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the creative colonel grabs the motor .,the motor is grabbed by the creative colonel .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the modern mother leads the club .,the club is led by the modern mother .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the aggressive administration helps the cop .,the cop is helped by the aggressive administration .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the kind candidate smells the crystal .,the crystal is smelled by the kind candidate .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the kind singer destroys the juice .,the juice is destroyed by the kind singer .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the tough child raises the buddy .,the buddy is raised by the tough child .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the pretty reader embraces the husband .,the husband is embraced by the pretty reader .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the intelligent author asks the professor .,the professor is asked by the intelligent author .,a secretary ate a cheese .,a cheese was eaten by a secretary .
a scary writer removed a glass .,a glass was removed by a scary writer .,the priest understands the opponent .,the opponent is understood by the priest .
a terrible writer raised a television .,a television was raised by a terrible writer .,the priest understands the opponent .,the opponent is understood by the priest .
a sick buddy punched a leader .,a leader was punched by a sick buddy .,the priest understands the opponent .,the opponent is understood by the priest .
an excellent administration wanted a guitar .,a guitar was wanted by an excellent administration .,the priest understands the opponent .,the opponent is understood by the priest .
a strange woman purchased a coffee .,a coffee was purchased by a strange woman .,the priest understands the opponent .,the opponent is understood by the priest .
a drunk singer chased a boy .,a boy was chased by a drunk singer .,the priest understands the opponent .,the opponent is understood by the priest .
a sophisticated brother hurt a woman .,a woman was hurt by a sophisticated brother .,the priest understands the opponent .,the opponent is understood by the priest .
an english actress raised a man .,a man was raised by an english actress .,the priest understands the opponent .,the opponent is understood by the priest .
an emotional attorney destroyed a telephone .,a telephone was destroyed by an emotional attorney .,the priest understands the opponent .,the opponent is understood by the priest .
an alert author carried a reader .,a reader was carried by an alert author .,the priest understands the opponent .,the opponent is understood by the priest .
an attractive actor ate a chicken .,a chicken was eaten by an attractive actor .,the parent strikes the brother .,the brother is struck by the parent .
an awful author wrapped a guitar .,a guitar was wrapped by an awful author .,the parent strikes the brother .,the brother is struck by the parent .
a modern corporation kept a tea .,a tea was kept by a modern corporation .,the parent strikes the brother .,the brother is struck by the parent .
a powerful girl destroyed a beer .,a beer was destroyed by a powerful girl .,the parent strikes the brother .,the brother is struck by the parent .
a chinese king kissed a reader .,a reader was kissed by a chinese king .,the parent strikes the brother .,the brother is struck by the parent .
an alert aunt comforted a chief .,a chief was comforted by an alert aunt .,the parent strikes the brother .,the brother is struck by the parent .
an eager attorney ate a candy .,a candy was eaten by an eager attorney .,the parent strikes the brother .,the brother is struck by the parent .
a criminal secretary understood a champion .,a champion was understood by a criminal secretary .,the parent strikes the brother .,the brother is struck by the parent .
a wonderful pilot ate a chicken .,a chicken was eaten by a wonderful pilot .,the parent strikes the brother .,the brother is struck by the parent .
a lonely physician carried a man .,a man was carried by a lonely physician .,the parent strikes the brother .,the brother is struck by the parent .
the funny professor removes the knife .,the knife is removed by the funny professor .,a king wanted a coffee .,a coffee was wanted by a king .
the rough chief embraces the uncle .,the uncle is embraced by the rough chief .,a king wanted a coffee .,a coffee was wanted by a king .
the awesome uncle describes the minister .,the minister is described by the awesome uncle .,a king wanted a coffee .,a coffee was wanted by a king .
the tough teacher hurts the brother .,the brother is hurt by the tough teacher .,a king wanted a coffee .,a coffee was wanted by a king .
the wise wife leads the club .,the club is led by the wise wife .,a king wanted a coffee .,a coffee was wanted by a king .
the sweet friend embraces the actress .,the actress is embraced by the sweet friend .,a king wanted a coffee .,a coffee was wanted by a king .
the stupid boy smells the chicken .,the chicken is smelled by the stupid boy .,a king wanted a coffee .,a coffee was wanted by a king .
the angry employer beats the nurse .,the nurse is beaten by the angry employer .,a king wanted a coffee .,a coffee was wanted by a king .
the violent professor leaves the button .,the button is left by the violent professor .,a king wanted a coffee .,a coffee was wanted by a king .
