pa, pp, ta, tp
the actress removed the pot .,the pot was removed by the actress .,a woman destroys a flower .,a flower is destroyed by a woman .
the lady wrapped the pot .,the pot was wrapped by the lady .,a woman destroys a flower .,a flower is destroyed by a woman .
the actress removed the pot .,the pot was removed by the actress .,a woman destroys a flower .,a flower is destroyed by a woman .
the man accepted the pot .,the pot was accepted by the man .,a woman destroys a flower .,a flower is destroyed by a woman .
the actress left the pot .,the pot was left by the actress .,a woman destroys a flower .,a flower is destroyed by a woman .
the girl used the pot .,the pot was used by the girl .,a woman destroys a flower .,a flower is destroyed by a woman .
the wife left the pot .,the pot was left by the wife .,a woman destroys a flower .,a flower is destroyed by a woman .
the wife accepted the pot .,the pot was accepted by the wife .,a woman destroys a flower .,a flower is destroyed by a woman .
the lady accepted the pot .,the pot was accepted by the lady .,a woman destroys a flower .,a flower is destroyed by a woman .
the actress accepted the pot .,the pot was accepted by the actress .,a woman destroys a flower .,a flower is destroyed by a woman .
the manager strikes the singer .,the singer is struck by the manager .,an employee followed a band .,a band was followed by an employee .
the worker collects the guitar .,the guitar is collected by the worker .,an employee followed a band .,a band was followed by an employee .
the employer drags the singer .,the singer is dragged by the employer .,an employee followed a band .,a band was followed by an employee .
the manager punches the singer .,the singer is punched by the manager .,an employee followed a band .,a band was followed by an employee .
the manager kills the singer .,the singer is killed by the manager .,an employee followed a band .,a band was followed by an employee .
the manager wraps the guitar .,the guitar is wrapped by the manager .,an employee followed a band .,a band was followed by an employee .
the manager strikes the singer .,the singer is struck by the manager .,an employee followed a band .,a band was followed by an employee .
the manager strikes the singer .,the singer is struck by the manager .,an employee followed a band .,a band was followed by an employee .
the worker strikes the singer .,the singer is struck by the worker .,an employee followed a band .,a band was followed by an employee .
the manager accepts the guitar .,the guitar is accepted by the manager .,an employee followed a band .,a band was followed by an employee .
the adult smells the glass .,the glass is smelled by the adult .,a mother drank a juice .,a juice was drunk by a mother .
the daughter discovers the glass .,the glass is discovered by the daughter .,a mother drank a juice .,a juice was drunk by a mother .
the wife leaves the glass .,the glass is left by the wife .,a mother drank a juice .,a juice was drunk by a mother .
the father uses the glass .,the glass is used by the father .,a mother drank a juice .,a juice was drunk by a mother .
the adult accepts the glass .,the glass is accepted by the adult .,a mother drank a juice .,a juice was drunk by a mother .
the father uses the glass .,the glass is used by the father .,a mother drank a juice .,a juice was drunk by a mother .
the daughter washes the glass .,the glass is washed by the daughter .,a mother drank a juice .,a juice was drunk by a mother .
the kid removes the glass .,the glass is removed by the kid .,a mother drank a juice .,a juice was drunk by a mother .
the child leaves the glass .,the glass is left by the child .,a mother drank a juice .,a juice was drunk by a mother .
the child accepts the glass .,the glass is accepted by the child .,a mother drank a juice .,a juice was drunk by a mother .
an employee bothers a colonel .,a colonel is bothered by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee washes a colonel .,a colonel is washed by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee hurries a colonel .,a colonel is hurried by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee beats a colonel .,a colonel is beaten by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee teaches a colonel .,a colonel is taught by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee forgives a colonel .,a colonel is forgiven by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
an employee washes a colonel .,a colonel is washed by an employee .,the manager raised the chicken .,the chicken was raised by the manager .
