ppo, pdo, tpo, tdo
a doctor got a coffee for a doctor .,a doctor got a doctor a coffee .,the physician brought the cup to the physician .,the physician brought the physician the cup .
the doctor got the juice for the doctor .,the doctor got the doctor the juice .,a physician brought a glass to a physician .,a physician brought a physician a glass .
the physician got the coffee for the physician .,the physician got the physician the coffee .,a doctor brought a cup to a doctor .,a doctor brought a doctor a cup .
the physician got the juice for the physician .,the physician got the physician the juice .,a doctor brought a glass to a doctor .,a doctor brought a doctor a glass .
the doctor got the coffee for the singer .,the doctor got the singer the coffee .,a physician brought a cup to a band .,a physician brought a band a cup .
a doctor got a coffee for a colonel .,a doctor got a colonel a coffee .,the physician brought the cup to the army .,the physician brought the army the cup .
the doctor got the juice for the singer .,the doctor got the singer the juice .,a physician brought a glass to a band .,a physician brought a band a glass .
a doctor got a juice for a colonel .,a doctor got a colonel a juice .,the physician brought the glass to the army .,the physician brought the army the glass .
the physician got the coffee for the singer .,the physician got the singer the coffee .,a doctor brought a cup to a band .,a doctor brought a band a cup .
the physician got the coffee for the colonel .,the physician got the colonel the coffee .,a doctor brought a cup to an army .,a doctor brought an army a cup .
the physician got the juice for the singer .,the physician got the singer the juice .,a doctor brought a glass to a band .,a doctor brought a band a glass .
the physician got the juice for the colonel .,the physician got the colonel the juice .,a doctor brought a glass to an army .,a doctor brought an army a glass .
the doctor got the coffee for the company .,the doctor got the company the coffee .,a physician brought a cup to a corporation .,a physician brought a corporation a cup .
the doctor got the coffee for the corporation .,the doctor got the corporation the coffee .,a physician brought a cup to a company .,a physician brought a company a cup .
the doctor got the juice for the company .,the doctor got the company the juice .,a physician brought a glass to a corporation .,a physician brought a corporation a glass .
the doctor got the juice for the corporation .,the doctor got the corporation the juice .,a physician brought a glass to a company .,a physician brought a company a glass .
a physician got a coffee for a company .,a physician got a company a coffee .,the doctor brought the cup to the corporation .,the doctor brought the corporation the cup .
a physician got a coffee for a corporation .,a physician got a corporation a coffee .,the doctor brought the cup to the company .,the doctor brought the company the cup .
the physician got the juice for the company .,the physician got the company the juice .,a doctor brought a glass to a corporation .,a doctor brought a corporation a glass .
a physician got a juice for a corporation .,a physician got a corporation a juice .,the doctor brought the glass to the company .,the doctor brought the company the glass .
