ppo, pdo, tpo, tdo
a mayor purchased a gun for a corporation .,a mayor purchased a corporation a gun .,a mayor purchased a gun for a corporation .,a mayor purchased a corporation a gun .
a soldier bought a crystal for a guy .,a soldier bought a guy a crystal .,a soldier bought a crystal for a guy .,a soldier bought a guy a crystal .
a son bought a telephone for a guest .,a son bought a guest a telephone .,a son bought a telephone for a guest .,a son bought a guest a telephone .
a boy made a television for a student .,a boy made a student a television .,a boy made a television for a student .,a boy made a student a television .
a chief saved a camera for an administration .,a chief saved an administration a camera .,a chief saved a camera for an administration .,a chief saved an administration a camera .
a minister found a meal for a club .,a minister found a club a meal .,a minister found a meal for a club .,a minister found a club a meal .
a girl found a coffee for a princess .,a girl found a princess a coffee .,a girl found a coffee for a princess .,a girl found a princess a coffee .
a leader left a pie for a chief .,a leader left a chief a pie .,a leader left a pie for a chief .,a leader left a chief a pie .
an employee left a pot for a sheriff .,an employee left a sheriff a pot .,an employee left a pot for a sheriff .,an employee left a sheriff a pot .
an attorney saved a bowl for a manager .,an attorney saved a manager a bowl .,an attorney saved a bowl for a manager .,an attorney saved a manager a bowl .
a secretary sold a juice to a manager .,a secretary sold a manager a juice .,a secretary sold a juice to a manager .,a secretary sold a manager a juice .
a buddy promised a meal to a priest .,a buddy promised a priest a meal .,a buddy promised a meal to a priest .,a buddy promised a priest a meal .
a cop showed a book to a bishop .,a cop showed a bishop a book .,a cop showed a book to a bishop .,a cop showed a bishop a book .
a captain threw a pie to a partner .,a captain threw a partner a pie .,a captain threw a pie to a partner .,a captain threw a partner a pie .
a parent supplied a meal to a hero .,a parent supplied a hero a meal .,a parent supplied a meal to a hero .,a parent supplied a hero a meal .
a singer fed a chicken to a chief .,a singer fed a chief a chicken .,a singer fed a chicken to a chief .,a singer fed a chief a chicken .
an aunt sold a beer to a mayor .,an aunt sold a mayor a beer .,an aunt sold a beer to a mayor .,an aunt sold a mayor a beer .
a princess supplied a cheese to a club .,a princess supplied a club a cheese .,a princess supplied a cheese to a club .,a princess supplied a club a cheese .
a girl promised a chocolate to a pilot .,a girl promised a pilot a chocolate .,a girl promised a chocolate to a pilot .,a girl promised a pilot a chocolate .
a son fed a chicken to a friend .,a son fed a friend a chicken .,a son fed a chicken to a friend .,a son fed a friend a chicken .
a pilot drew a crystal for a company .,a pilot drew a company a crystal .,a pilot drew a crystal for a company .,a pilot drew a company a crystal .
