pa, pp, ta, tp
a lady follows a corporation .,a corporation is followed by a lady .,a chief destroys a meal .,a meal is destroyed by a chief .
a winner tastes a chocolate .,a chocolate is tasted by a winner .,a chief destroys a meal .,a meal is destroyed by a chief .
a reader joins a wife .,a wife is joined by a reader .,a chief destroys a meal .,a meal is destroyed by a chief .
a singer discovers an adult .,an adult is discovered by a singer .,a chief destroys a meal .,a meal is destroyed by a chief .
a son prepares a pie .,a pie is prepared by a son .,a chief destroys a meal .,a meal is destroyed by a chief .
a soldier chases a company .,a company is chased by a soldier .,a chief destroys a meal .,a meal is destroyed by a chief .
a champion leads a corporation .,a corporation is led by a champion .,a chief destroys a meal .,a meal is destroyed by a chief .
a friend wraps a camera .,a camera is wrapped by a friend .,a chief destroys a meal .,a meal is destroyed by a chief .
a winner accepts a knife .,a knife is accepted by a winner .,a chief destroys a meal .,a meal is destroyed by a chief .
a woman follows a father .,a father is followed by a woman .,a chief destroys a meal .,a meal is destroyed by a chief .
the band used the box .,the box was used by the band .,the man left the coat .,the coat was left by the man .
the nurse kissed the brother .,the brother was kissed by the nurse .,the man left the coat .,the coat was left by the man .
the priest surprised the doctor .,the doctor was surprised by the priest .,the man left the coat .,the coat was left by the man .
the winner washed the manager .,the manager was washed by the winner .,the man left the coat .,the coat was left by the man .
the manager grabbed the chicken .,the chicken was grabbed by the manager .,the man left the coat .,the coat was left by the man .
the lawyer prepared the camera .,the camera was prepared by the lawyer .,the man left the coat .,the coat was left by the man .
the scientist washed the knife .,the knife was washed by the scientist .,the man left the coat .,the coat was left by the man .
the colonel kept the cheese .,the cheese was kept by the colonel .,the man left the coat .,the coat was left by the man .
the lawyer smelled the coffee .,the coffee was smelled by the lawyer .,the man left the coat .,the coat was left by the man .
the colonel grabbed the cheese .,the cheese was grabbed by the colonel .,the man left the coat .,the coat was left by the man .
the singer grabs the coffee .,the coffee is grabbed by the singer .,the author hurts the physician .,the physician is hurt by the author .
the sheriff bothers the nurse .,the nurse is bothered by the sheriff .,the author hurts the physician .,the physician is hurt by the author .
the guy chases the business .,the business is chased by the guy .,the author hurts the physician .,the physician is hurt by the author .
the princess wants the cigarette .,the cigarette is wanted by the princess .,the author hurts the physician .,the physician is hurt by the author .
the army wants the coffee .,the coffee is wanted by the army .,the author hurts the physician .,the physician is hurt by the author .
the captain teaches the student .,the student is taught by the captain .,the author hurts the physician .,the physician is hurt by the author .
the business wants the juice .,the juice is wanted by the business .,the author hurts the physician .,the physician is hurt by the author .
the winner strikes the daughter .,the daughter is struck by the winner .,the author hurts the physician .,the physician is hurt by the author .
the buddy smells the salad .,the salad is smelled by the buddy .,the author hurts the physician .,the physician is hurt by the author .
the company wants the candy .,the candy is wanted by the company .,the author hurts the physician .,the physician is hurt by the author .
the professor chased the president .,the president was chased by the professor .,the wife destroyed the juice .,the juice was destroyed by the wife .
the reader collected the plate .,the plate was collected by the reader .,the wife destroyed the juice .,the juice was destroyed by the wife .
the actor dragged the guitar .,the guitar was dragged by the actor .,the wife destroyed the juice .,the juice was destroyed by the wife .
the sheriff raised the pie .,the pie was raised by the sheriff .,the wife destroyed the juice .,the juice was destroyed by the wife .
the bishop taught the aunt .,the aunt was taught by the bishop .,the wife destroyed the juice .,the juice was destroyed by the wife .
the leader accepted the box .,the box was accepted by the leader .,the wife destroyed the juice .,the juice was destroyed by the wife .
the employer judged the business .,the business was judged by the employer .,the wife destroyed the juice .,the juice was destroyed by the wife .
the friend tasted the chocolate .,the chocolate was tasted by the friend .,the wife destroyed the juice .,the juice was destroyed by the wife .
the reader ate the cheese .,the cheese was eaten by the reader .,the wife destroyed the juice .,the juice was destroyed by the wife .
the aunt beat the child .,the child was beaten by the aunt .,the wife destroyed the juice .,the juice was destroyed by the wife .
a son removed a cigarette .,a cigarette was removed by a son .,a husband drank a juice .,a juice was drunk by a husband .
a nurse hurt a company .,a company was hurt by a nurse .,a husband drank a juice .,a juice was drunk by a husband .
a girl comforted a guest .,a guest was comforted by a girl .,a husband drank a juice .,a juice was drunk by a husband .
a princess understood a worker .,a worker was understood by a princess .,a husband drank a juice .,a juice was drunk by a husband .
a father carried a mother .,a mother was carried by a father .,a husband drank a juice .,a juice was drunk by a husband .
