ppo, pdo, tpo, tdo
a reader gave a gun to a club .,a reader gave a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader gave a gun to a club .,a reader gave a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader sold a gun to a club .,a reader sold a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader gave a gun to a club .,a reader gave a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader brought a gun to a club .,a reader brought a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader brought a gun to a club .,a reader brought a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader sent a gun to a club .,a reader sent a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader sent a gun to a club .,a reader sent a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader gave a gun to a club .,a reader gave a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
a reader supplied a gun to a club .,a reader supplied a club a gun .,the reader found the gun for the club .,the reader found the club the gun .
the physician brought the cheese to the corporation .,the physician brought the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician supplied the cheese to the corporation .,the physician supplied the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician supplied the cheese to the corporation .,the physician supplied the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician supplied the cheese to the corporation .,the physician supplied the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician supplied the cheese to the corporation .,the physician supplied the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician brought the cheese to the corporation .,the physician brought the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician brought the cheese to the corporation .,the physician brought the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician brought the cheese to the corporation .,the physician brought the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician sent the cheese to the corporation .,the physician sent the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
the physician brought the cheese to the corporation .,the physician brought the corporation the cheese .,a physician saved a cheese for a corporation .,a physician saved a corporation a cheese .
a guest sold a candy to a child .,a guest sold a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest sent a candy to a child .,a guest sent a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest showed a candy to a child .,a guest showed a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest showed a candy to a child .,a guest showed a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest supplied a candy to a child .,a guest supplied a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest sold a candy to a child .,a guest sold a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest brought a candy to a child .,a guest brought a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest sold a candy to a child .,a guest sold a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest sent a candy to a child .,a guest sent a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
a guest brought a candy to a child .,a guest brought a child a candy .,the guest kept the candy for the child .,the guest kept the child the candy .
the brother left the meal for the administration .,the brother left the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother saved the meal for the administration .,the brother saved the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother left the meal for the administration .,the brother left the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother found the meal for the administration .,the brother found the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother saved the meal for the administration .,the brother saved the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother found the meal for the administration .,the brother found the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother purchased the meal for the administration .,the brother purchased the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother left the meal for the administration .,the brother left the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother saved the meal for the administration .,the brother saved the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
the brother purchased the meal for the administration .,the brother purchased the administration the meal .,a brother gave a meal to an administration .,a brother gave an administration a meal .
a friend supplied a beer to a prince .,a friend supplied a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend supplied a beer to a prince .,a friend supplied a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend sold a beer to a prince .,a friend sold a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend supplied a beer to a prince .,a friend supplied a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend sent a beer to a prince .,a friend sent a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend sold a beer to a prince .,a friend sold a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend brought a beer to a prince .,a friend brought a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend supplied a beer to a prince .,a friend supplied a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend sold a beer to a prince .,a friend sold a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a friend sold a beer to a prince .,a friend sold a prince a beer .,the friend found the beer for the prince .,the friend found the prince the beer .
a nurse promised a pot to a mayor .,a nurse promised a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse promised a pot to a mayor .,a nurse promised a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse promised a pot to a mayor .,a nurse promised a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse promised a pot to a mayor .,a nurse promised a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
a nurse threw a pot to a mayor .,a nurse threw a mayor a pot .,the nurse delivered the pot for the mayor .,the nurse delivered the mayor the pot .
the reader showed the salad to the corporation .,the reader showed the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader showed the salad to the corporation .,the reader showed the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader gave the salad to the corporation .,the reader gave the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader sold the salad to the corporation .,the reader sold the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader supplied the salad to the corporation .,the reader supplied the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader gave the salad to the corporation .,the reader gave the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader sold the salad to the corporation .,the reader sold the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader showed the salad to the corporation .,the reader showed the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader sent the salad to the corporation .,the reader sent the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
the reader sold the salad to the corporation .,the reader sold the corporation the salad .,a reader left a salad for a corporation .,a reader left a corporation a salad .
a candidate purchased a candy for a president .,a candidate purchased a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate kept a candy for a president .,a candidate kept a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate purchased a candy for a president .,a candidate purchased a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate saved a candy for a president .,a candidate saved a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate got a candy for a president .,a candidate got a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate found a candy for a president .,a candidate found a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate kept a candy for a president .,a candidate kept a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate kept a candy for a president .,a candidate kept a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate got a candy for a president .,a candidate got a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
a candidate found a candy for a president .,a candidate found a president a candy .,the candidate showed the candy to the president .,the candidate showed the president the candy .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest promised the bell to the physician .,the guest promised the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest promised the bell to the physician .,the guest promised the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest promised the bell to the physician .,the guest promised the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest promised the bell to the physician .,the guest promised the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the guest threw the bell to the physician .,the guest threw the physician the bell .,a guest delivered a bell for a physician .,a guest delivered a physician a bell .
the woman saved the candy for the administration .,the woman saved the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman kept the candy for the administration .,the woman kept the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman saved the candy for the administration .,the woman saved the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman saved the candy for the administration .,the woman saved the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman left the candy for the administration .,the woman left the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman kept the candy for the administration .,the woman kept the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman left the candy for the administration .,the woman left the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman left the candy for the administration .,the woman left the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman kept the candy for the administration .,the woman kept the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
the woman got the candy for the administration .,the woman got the administration the candy .,a woman sold a candy to an administration .,a woman sold an administration a candy .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt showed a tea to an army .,an aunt showed an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt showed a tea to an army .,an aunt showed an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt supplied a tea to an army .,an aunt supplied an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt showed a tea to an army .,an aunt showed an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
an aunt sold a tea to an army .,an aunt sold an army a tea .,the aunt got the tea for the army .,the aunt got the army the tea .
a student found an iron for a guy .,a student found a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student left an iron for a guy .,a student left a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student saved an iron for a guy .,a student saved a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student left an iron for a guy .,a student left a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student left an iron for a guy .,a student left a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student found an iron for a guy .,a student found a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student found an iron for a guy .,a student found a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student saved an iron for a guy .,a student saved a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
a student purchased an iron for a guy .,a student purchased a guy an iron .,the student gave the iron to the guy .,the student gave the guy the iron .
