pa, pp, ta, tp
the guy surprised the employer .,the employer was surprised by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy understood the employer .,the employer was understood by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy struck the employer .,the employer was struck by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy embraced the employer .,the employer was embraced by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy understood the employer .,the employer was understood by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy killed the employer .,the employer was killed by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy kissed the employer .,the employer was kissed by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy struck the employer .,the employer was struck by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy struck the employer .,the employer was struck by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
the guy understood the employer .,the employer was understood by the guy .,a guy comforts an employer .,an employer is comforted by a guy .
a nurse surprised an uncle .,an uncle was surprised by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse killed an uncle .,an uncle was killed by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse taught an uncle .,an uncle was taught by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse killed an uncle .,an uncle was killed by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse taught an uncle .,an uncle was taught by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse struck an uncle .,an uncle was struck by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse killed an uncle .,an uncle was killed by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse struck an uncle .,an uncle was struck by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse punched an uncle .,an uncle was punched by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
a nurse punched an uncle .,an uncle was punched by a nurse .,the nurse embraces the uncle .,the uncle is embraced by the nurse .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band kept the juice .,the juice was kept by the band .,a band purchases a juice .,a juice is purchased by a band .
the band kept the juice .,the juice was kept by the band .,a band purchases a juice .,a juice is purchased by a band .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band kept the juice .,the juice was kept by the band .,a band purchases a juice .,a juice is purchased by a band .
the band wanted the juice .,the juice was wanted by the band .,a band purchases a juice .,a juice is purchased by a band .
the band kept the juice .,the juice was kept by the band .,a band purchases a juice .,a juice is purchased by a band .
a hero catches a glass .,a glass is caught by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero carries a glass .,a glass is carried by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero grabs a glass .,a glass is grabbed by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero carries a glass .,a glass is carried by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero destroys a glass .,a glass is destroyed by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero forgets a glass .,a glass is forgotten by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero forgets a glass .,a glass is forgotten by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero catches a glass .,a glass is caught by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero selects a glass .,a glass is selected by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
a hero grabs a glass .,a glass is grabbed by a hero .,the hero discovered the glass .,the glass was discovered by the hero .
the bishop broke the coat .,the coat was broken by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop wrapped the coat .,the coat was wrapped by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop accepted the coat .,the coat was accepted by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop wrapped the coat .,the coat was wrapped by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop broke the coat .,the coat was broken by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop accepted the coat .,the coat was accepted by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop accepted the coat .,the coat was accepted by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop wrapped the coat .,the coat was wrapped by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop wrapped the coat .,the coat was wrapped by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the bishop accepted the coat .,the coat was accepted by the bishop .,a bishop leaves a coat .,a coat is left by a bishop .
the mother punches the physician .,the physician is punched by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother comforts the physician .,the physician is comforted by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother hurries the physician .,the physician is hurried by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother teaches the physician .,the physician is taught by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother teaches the physician .,the physician is taught by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother punches the physician .,the physician is punched by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother hurries the physician .,the physician is hurried by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother strikes the physician .,the physician is struck by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother understands the physician .,the physician is understood by the mother .,a mother killed a physician .,a physician was killed by a mother .
the mother comforts the physician .,the physician is comforted by the mother .,a mother killed a physician .,a physician was killed by a mother .
a leader asked a singer .,a singer was asked by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader joined a singer .,a singer was joined by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader joined a singer .,a singer was joined by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader judged a singer .,a singer was judged by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
