pa, pp, ta, tp
the woman judged the parent .,the parent was judged by the woman .,the woman judged the parent .,the parent was judged by the woman .
the administration protected the mother .,the mother was protected by the administration .,the administration protected the mother .,the mother was protected by the administration .
the hero forgot the tea .,the tea was forgotten by the hero .,the hero forgot the tea .,the tea was forgotten by the hero .
the chief tasted the cheese .,the cheese was tasted by the chief .,the chief tasted the cheese .,the cheese was tasted by the chief .
the pilot chased the bishop .,the bishop was chased by the pilot .,the pilot chased the bishop .,the bishop was chased by the pilot .
the uncle smelled the computer .,the computer was smelled by the uncle .,the uncle smelled the computer .,the computer was smelled by the uncle .
the guy discovered the bowl .,the bowl was discovered by the guy .,the guy discovered the bowl .,the bowl was discovered by the guy .
the teacher described the mother .,the mother was described by the teacher .,the teacher described the mother .,the mother was described by the teacher .
the army used the plate .,the plate was used by the army .,the army used the plate .,the plate was used by the army .
the actor destroyed the tea .,the tea was destroyed by the actor .,the actor destroyed the tea .,the tea was destroyed by the actor .
a mayor describes a plate .,a plate is described by a mayor .,a mayor describes a plate .,a plate is described by a mayor .
a candidate kills a hero .,a hero is killed by a candidate .,a candidate kills a hero .,a hero is killed by a candidate .
a sheriff hurries a kid .,a kid is hurried by a sheriff .,a sheriff hurries a kid .,a kid is hurried by a sheriff .
an employer selects a salad .,a salad is selected by an employer .,an employer selects a salad .,a salad is selected by an employer .
a woman smells a meal .,a meal is smelled by a woman .,a woman smells a meal .,a meal is smelled by a woman .
a guy wraps a key .,a key is wrapped by a guy .,a guy wraps a key .,a key is wrapped by a guy .
an attorney grabs an actor .,an actor is grabbed by an attorney .,an attorney grabs an actor .,an actor is grabbed by an attorney .
a parent grabs a salad .,a salad is grabbed by a parent .,a parent grabs a salad .,a salad is grabbed by a parent .
a student grabs a candy .,a candy is grabbed by a student .,a student grabs a candy .,a candy is grabbed by a student .
a leader forgets a crystal .,a crystal is forgotten by a leader .,a leader forgets a crystal .,a crystal is forgotten by a leader .
the mayor understands the princess .,the princess is understood by the mayor .,the mayor understands the princess .,the princess is understood by the mayor .
the aunt leaves the camera .,the camera is left by the aunt .,the aunt leaves the camera .,the camera is left by the aunt .
the sheriff helps the author .,the author is helped by the sheriff .,the sheriff helps the author .,the author is helped by the sheriff .
the opponent hurries the reader .,the reader is hurried by the opponent .,the opponent hurries the reader .,the reader is hurried by the opponent .
the professor tastes the cheese .,the cheese is tasted by the professor .,the professor tastes the cheese .,the cheese is tasted by the professor .
the scientist eats the salad .,the salad is eaten by the scientist .,the scientist eats the salad .,the salad is eaten by the scientist .
the aunt carries the salad .,the salad is carried by the aunt .,the aunt carries the salad .,the salad is carried by the aunt .
the teacher forgets the coffee .,the coffee is forgotten by the teacher .,the teacher forgets the coffee .,the coffee is forgotten by the teacher .
the sheriff selects the bishop .,the bishop is selected by the sheriff .,the sheriff selects the bishop .,the bishop is selected by the sheriff .
the actor teaches the worker .,the worker is taught by the actor .,the actor teaches the worker .,the worker is taught by the actor .
