pa, pp, ta, tp
the beer kills the colonel .,the colonel is killed by the beer .,a secretary smelled a machine .,a machine was smelled by a secretary .
the button hurries the glass .,the glass is hurried by the button .,a secretary smelled a machine .,a machine was smelled by a secretary .
the jacket forgives the club .,the club is forgiven by the jacket .,a secretary smelled a machine .,a machine was smelled by a secretary .
the telephone forgets the singer .,the singer is forgotten by the telephone .,a secretary smelled a machine .,a machine was smelled by a secretary .
the juice forgives the priest .,the priest is forgiven by the juice .,a secretary smelled a machine .,a machine was smelled by a secretary .
the instrument uses the iron .,the iron is used by the instrument .,a secretary smelled a machine .,a machine was smelled by a secretary .
the pie eats the cop .,the cop is eaten by the pie .,a secretary smelled a machine .,a machine was smelled by a secretary .
the pie drags the physician .,the physician is dragged by the pie .,a secretary smelled a machine .,a machine was smelled by a secretary .
the bottle asks the student .,the student is asked by the bottle .,a secretary smelled a machine .,a machine was smelled by a secretary .
the button helps the kid .,the kid is helped by the button .,a secretary smelled a machine .,a machine was smelled by a secretary .
the crystal carried the chief .,the chief was carried by the crystal .,a soldier catches a manager .,a manager is caught by a soldier .
the cup dragged the actress .,the actress was dragged by the cup .,a soldier catches a manager .,a manager is caught by a soldier .
the bell joined the princess .,the princess was joined by the bell .,a soldier catches a manager .,a manager is caught by a soldier .
the book joined the candidate .,the candidate was joined by the book .,a soldier catches a manager .,a manager is caught by a soldier .
the bottle embraced the administration .,the administration was embraced by the bottle .,a soldier catches a manager .,a manager is caught by a soldier .
the glass left the business .,the business was left by the glass .,a soldier catches a manager .,a manager is caught by a soldier .
the machine collected the salad .,the salad was collected by the machine .,a soldier catches a manager .,a manager is caught by a soldier .
the telephone wrapped the crystal .,the crystal was wrapped by the telephone .,a soldier catches a manager .,a manager is caught by a soldier .
the card purchased the daughter .,the daughter was purchased by the card .,a soldier catches a manager .,a manager is caught by a soldier .
the juice helped the colonel .,the colonel was helped by the juice .,a soldier catches a manager .,a manager is caught by a soldier .
the key forgave the cigarette .,the cigarette was forgiven by the key .,a champion eats a pie .,a pie is eaten by a champion .
the flower discovered the mother .,the mother was discovered by the flower .,a champion eats a pie .,a pie is eaten by a champion .
the box collected the actor .,the actor was collected by the box .,a champion eats a pie .,a pie is eaten by a champion .
the motor chased the crystal .,the crystal was chased by the motor .,a champion eats a pie .,a pie is eaten by a champion .
the bag struck the boy .,the boy was struck by the bag .,a champion eats a pie .,a pie is eaten by a champion .
the bag hurried the hat .,the hat was hurried by the bag .,a champion eats a pie .,a pie is eaten by a champion .
the tea comforted the sheriff .,the sheriff was comforted by the tea .,a champion eats a pie .,a pie is eaten by a champion .
the bag destroyed the soldier .,the soldier was destroyed by the bag .,a champion eats a pie .,a pie is eaten by a champion .
the guitar prepared the man .,the man was prepared by the guitar .,a champion eats a pie .,a pie is eaten by a champion .
the coat taught the boy .,the boy was taught by the coat .,a champion eats a pie .,a pie is eaten by a champion .
a jacket describes a cigarette .,a cigarette is described by a jacket .,the company protected the son .,the son was protected by the company .
a pie drinks a motor .,a motor is drunk by a pie .,the company protected the son .,the son was protected by the company .
a log follows an attorney .,an attorney is followed by a log .,the company protected the son .,the son was protected by the company .
a coat describes a teacher .,a teacher is described by a coat .,the company protected the son .,the son was protected by the company .
a computer washes a chocolate .,a chocolate is washed by a computer .,the company protected the son .,the son was protected by the company .
a box chases a king .,a king is chased by a box .,the company protected the son .,the son was protected by the company .
a guitar removes a card .,a card is removed by a guitar .,the company protected the son .,the son was protected by the company .
an instrument joins a lady .,a lady is joined by an instrument .,the company protected the son .,the son was protected by the company .
a motor beats a club .,a club is beaten by a motor .,the company protected the son .,the son was protected by the company .
a guitar grabs a box .,a box is grabbed by a guitar .,the company protected the son .,the son was protected by the company .
a book led a motor .,a motor was led by a book .,the guy breaks the pot .,the pot is broken by the guy .
a cheese described an army .,an army was described by a cheese .,the guy breaks the pot .,the pot is broken by the guy .
a log used a machine .,a machine was used by a log .,the guy breaks the pot .,the pot is broken by the guy .
a camera kissed a winner .,a winner was kissed by a camera .,the guy breaks the pot .,the pot is broken by the guy .
a log dragged a key .,a key was dragged by a log .,the guy breaks the pot .,the pot is broken by the guy .
a coat judged a physician .,a physician was judged by a coat .,the guy breaks the pot .,the pot is broken by the guy .
a meal ate a guest .,a guest was eaten by a meal .,the guy breaks the pot .,the pot is broken by the guy .
an iron left a camera .,a camera was left by an iron .,the guy breaks the pot .,the pot is broken by the guy .
a salad hurried a husband .,a husband was hurried by a salad .,the guy breaks the pot .,the pot is broken by the guy .
an anchor judged a computer .,a computer was judged by an anchor .,the guy breaks the pot .,the pot is broken by the guy .
the coat bothered the reader .,the reader was bothered by the coat .,a hero selects a crystal .,a crystal is selected by a hero .
the knife forgot the girl .,the girl was forgotten by the knife .,a hero selects a crystal .,a crystal is selected by a hero .
the card grabbed the worker .,the worker was grabbed by the card .,a hero selects a crystal .,a crystal is selected by a hero .
the bag broke the princess .,the princess was broken by the bag .,a hero selects a crystal .,a crystal is selected by a hero .
the bottle prepared the adult .,the adult was prepared by the bottle .,a hero selects a crystal .,a crystal is selected by a hero .
the chocolate smelled the attorney .,the attorney was smelled by the chocolate .,a hero selects a crystal .,a crystal is selected by a hero .
the meal helped the motor .,the motor was helped by the meal .,a hero selects a crystal .,a crystal is selected by a hero .
the bowl collected the singer .,the singer was collected by the bowl .,a hero selects a crystal .,a crystal is selected by a hero .
the book removed the guy .,the guy was removed by the book .,a hero selects a crystal .,a crystal is selected by a hero .
the cigarette hurt the salad .,the salad was hurt by the cigarette .,a hero selects a crystal .,a crystal is selected by a hero .
a wire prepares an iron .,an iron is prepared by a wire .,the minister carried the priest .,the priest was carried by the minister .
a juice forgives a cousin .,a cousin is forgiven by a juice .,the minister carried the priest .,the priest was carried by the minister .
a chocolate wraps a club .,a club is wrapped by a chocolate .,the minister carried the priest .,the priest was carried by the minister .
a plate forgives a telephone .,a telephone is forgiven by a plate .,the minister carried the priest .,the priest was carried by the minister .
a bottle surprises a mayor .,a mayor is surprised by a bottle .,the minister carried the priest .,the priest was carried by the minister .
a card drinks a button .,a button is drunk by a card .,the minister carried the priest .,the priest was carried by the minister .
a machine wraps a pot .,a pot is wrapped by a machine .,the minister carried the priest .,the priest was carried by the minister .
a motor beats a cousin .,a cousin is beaten by a motor .,the minister carried the priest .,the priest was carried by the minister .
a wire drinks a hat .,a hat is drunk by a wire .,the minister carried the priest .,the priest was carried by the minister .
a coffee tastes a juice .,a juice is tasted by a coffee .,the minister carried the priest .,the priest was carried by the minister .
the bell selects the pot .,the pot is selected by the bell .,an actor joined a teacher .,a teacher was joined by an actor .
the box protects the soldier .,the soldier is protected by the box .,an actor joined a teacher .,a teacher was joined by an actor .
the flower chases the hat .,the hat is chased by the flower .,an actor joined a teacher .,a teacher was joined by an actor .
the button wraps the instrument .,the instrument is wrapped by the button .,an actor joined a teacher .,a teacher was joined by an actor .
the button describes the plate .,the plate is described by the button .,an actor joined a teacher .,a teacher was joined by an actor .
the coat bothers the chief .,the chief is bothered by the coat .,an actor joined a teacher .,a teacher was joined by an actor .
the hat asks the button .,the button is asked by the hat .,an actor joined a teacher .,a teacher was joined by an actor .
the hat beats the cup .,the cup is beaten by the hat .,an actor joined a teacher .,a teacher was joined by an actor .
the instrument accepts the guitar .,the guitar is accepted by the instrument .,an actor joined a teacher .,a teacher was joined by an actor .
the plate carries the salad .,the salad is carried by the plate .,an actor joined a teacher .,a teacher was joined by an actor .
a key struck a cop .,a cop was struck by a key .,the army purchases the iron .,the iron is purchased by the army .
a camera destroyed a club .,a club was destroyed by a camera .,the army purchases the iron .,the iron is purchased by the army .
a glass kissed a president .,a president was kissed by a glass .,the army purchases the iron .,the iron is purchased by the army .
a chocolate punched a camera .,a camera was punched by a chocolate .,the army purchases the iron .,the iron is purchased by the army .
a motor ate a guitar .,a guitar was eaten by a motor .,the army purchases the iron .,the iron is purchased by the army .
an engine killed a chief .,a chief was killed by an engine .,the army purchases the iron .,the iron is purchased by the army .
a crystal helped a mother .,a mother was helped by a crystal .,the army purchases the iron .,the iron is purchased by the army .
a knife helped a bishop .,a bishop was helped by a knife .,the army purchases the iron .,the iron is purchased by the army .
an anchor followed a boy .,a boy was followed by an anchor .,the army purchases the iron .,the iron is purchased by the army .
a log forgave a leader .,a leader was forgiven by a log .,the army purchases the iron .,the iron is purchased by the army .
the gun struck the anchor .,the anchor was struck by the gun .,a husband understands a lawyer .,a lawyer is understood by a husband .
the chicken drank the leader .,the leader was drunk by the chicken .,a husband understands a lawyer .,a lawyer is understood by a husband .
the key grabbed the newspaper .,the newspaper was grabbed by the key .,a husband understands a lawyer .,a lawyer is understood by a husband .
the engine embraced the key .,the key was embraced by the engine .,a husband understands a lawyer .,a lawyer is understood by a husband .
the tea removed the bag .,the bag was removed by the tea .,a husband understands a lawyer .,a lawyer is understood by a husband .
the television helped the chicken .,the chicken was helped by the television .,a husband understands a lawyer .,a lawyer is understood by a husband .
the coffee prepared the cop .,the cop was prepared by the coffee .,a husband understands a lawyer .,a lawyer is understood by a husband .
the key carried the crystal .,the crystal was carried by the key .,a husband understands a lawyer .,a lawyer is understood by a husband .
the candy wrapped the iron .,the iron was wrapped by the candy .,a husband understands a lawyer .,a lawyer is understood by a husband .
the machine washed the flower .,the flower was washed by the machine .,a husband understands a lawyer .,a lawyer is understood by a husband .
the coat described the salad .,the salad was described by the coat .,an attorney grabs an author .,an author is grabbed by an attorney .
the chocolate selected the sheriff .,the sheriff was selected by the chocolate .,an attorney grabs an author .,an author is grabbed by an attorney .
the glass joined the teacher .,the teacher was joined by the glass .,an attorney grabs an author .,an author is grabbed by an attorney .
the pot led the key .,the key was led by the pot .,an attorney grabs an author .,an author is grabbed by an attorney .
the cheese helped the chocolate .,the chocolate was helped by the cheese .,an attorney grabs an author .,an author is grabbed by an attorney .
the cheese carried the king .,the king was carried by the cheese .,an attorney grabs an author .,an author is grabbed by an attorney .
the glass tasted the aunt .,the aunt was tasted by the glass .,an attorney grabs an author .,an author is grabbed by an attorney .
the cup surprised the manager .,the manager was surprised by the cup .,an attorney grabs an author .,an author is grabbed by an attorney .
the ball joined the colonel .,the colonel was joined by the ball .,an attorney grabs an author .,an author is grabbed by an attorney .
the jacket drank the soldier .,the soldier was drunk by the jacket .,an attorney grabs an author .,an author is grabbed by an attorney .
the jacket helped the girl .,the girl was helped by the jacket .,a professor tastes a meal .,a meal is tasted by a professor .
the iron selected the crystal .,the crystal was selected by the iron .,a professor tastes a meal .,a meal is tasted by a professor .
the juice helped the singer .,the singer was helped by the juice .,a professor tastes a meal .,a meal is tasted by a professor .
the cheese hurried the instrument .,the instrument was hurried by the cheese .,a professor tastes a meal .,a meal is tasted by a professor .
the wire raised the candidate .,the candidate was raised by the wire .,a professor tastes a meal .,a meal is tasted by a professor .
the television wrapped the friend .,the friend was wrapped by the television .,a professor tastes a meal .,a meal is tasted by a professor .
the juice embraced the adult .,the adult was embraced by the juice .,a professor tastes a meal .,a meal is tasted by a professor .
the guitar washed the daughter .,the daughter was washed by the guitar .,a professor tastes a meal .,a meal is tasted by a professor .
the glass beat the cousin .,the cousin was beaten by the glass .,a professor tastes a meal .,a meal is tasted by a professor .
the engine left the anchor .,the anchor was left by the engine .,a professor tastes a meal .,a meal is tasted by a professor .
the wire bothers the singer .,the singer is bothered by the wire .,a partner accepted a card .,a card was accepted by a partner .
the ball forgets the iron .,the iron is forgotten by the ball .,a partner accepted a card .,a card was accepted by a partner .
the pie helps the reader .,the reader is helped by the pie .,a partner accepted a card .,a card was accepted by a partner .
the camera hurries the singer .,the singer is hurried by the camera .,a partner accepted a card .,a card was accepted by a partner .
the cheese raises the secretary .,the secretary is raised by the cheese .,a partner accepted a card .,a card was accepted by a partner .
the bottle forgets the nurse .,the nurse is forgotten by the bottle .,a partner accepted a card .,a card was accepted by a partner .
the television embraces the pilot .,the pilot is embraced by the television .,a partner accepted a card .,a card was accepted by a partner .
the bell washes the parent .,the parent is washed by the bell .,a partner accepted a card .,a card was accepted by a partner .
the crystal uses the guest .,the guest is used by the crystal .,a partner accepted a card .,a card was accepted by a partner .
the salad breaks the administration .,the administration is broken by the salad .,a partner accepted a card .,a card was accepted by a partner .
a cup collects a sheriff .,a sheriff is collected by a cup .,the author comforted the mother .,the mother was comforted by the author .
a gun prepares a telephone .,a telephone is prepared by a gun .,the author comforted the mother .,the mother was comforted by the author .
a motor teaches a machine .,a machine is taught by a motor .,the author comforted the mother .,the mother was comforted by the author .
a box judges an aunt .,an aunt is judged by a box .,the author comforted the mother .,the mother was comforted by the author .
a beer protects a band .,a band is protected by a beer .,the author comforted the mother .,the mother was comforted by the author .
a guitar describes a teacher .,a teacher is described by a guitar .,the author comforted the mother .,the mother was comforted by the author .
a computer discovers a captain .,a captain is discovered by a computer .,the author comforted the mother .,the mother was comforted by the author .
