ppo, pdo, tpo, tdo
the computer purchased the partner for the key .,the computer purchased the key the partner .,a king took an anchor to a woman .,a king took a woman an anchor .
the salad caught the pilot for the cup .,the salad caught the cup the pilot .,a king took an anchor to a woman .,a king took a woman an anchor .
the beer drew the club for the instrument .,the beer drew the instrument the club .,a king took an anchor to a woman .,a king took a woman an anchor .
the hat bought the professor for the bell .,the hat bought the bell the professor .,a king took an anchor to a woman .,a king took a woman an anchor .
the glass bought the teacher for the crystal .,the glass bought the crystal the teacher .,a king took an anchor to a woman .,a king took a woman an anchor .
the box bought the uncle for the cheese .,the box bought the cheese the uncle .,a king took an anchor to a woman .,a king took a woman an anchor .
the guitar drew the nurse for the gun .,the guitar drew the gun the nurse .,a king took an anchor to a woman .,a king took a woman an anchor .
the pie made the teacher for the machine .,the pie made the machine the teacher .,a king took an anchor to a woman .,a king took a woman an anchor .
the gun bought the cousin for the computer .,the gun bought the computer the cousin .,a king took an anchor to a woman .,a king took a woman an anchor .
the bag purchased the minister for the wire .,the bag purchased the wire the minister .,a king took an anchor to a woman .,a king took a woman an anchor .
the pie purchased the guy for the wire .,the pie purchased the wire the guy .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the telephone purchased the writer for the candy .,the telephone purchased the candy the writer .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the instrument bought the administration for the ball .,the instrument bought the ball the administration .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the computer found the husband for the tea .,the computer found the tea the husband .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the button designed the priest for the bell .,the button designed the bell the priest .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the button saved the nurse for the engine .,the button saved the engine the nurse .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the box bought the soldier for the bag .,the box bought the bag the soldier .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the chocolate saved the administration for the pie .,the chocolate saved the pie the administration .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the chicken saved the secretary for the ball .,the chicken saved the ball the secretary .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
the salad drew the guest for the newspaper .,the salad drew the newspaper the guest .,a leader took an anchor to a buddy .,a leader took a buddy an anchor .
a meal delivered a singer for a beer .,a meal delivered a beer a singer .,the lady promised the machine to the president .,the lady promised the president the machine .
a juice left a manager for an instrument .,a juice left an instrument a manager .,the lady promised the machine to the president .,the lady promised the president the machine .
a coat found a band for an anchor .,a coat found an anchor a band .,the lady promised the machine to the president .,the lady promised the president the machine .
a bottle got a cop for a log .,a bottle got a log a cop .,the lady promised the machine to the president .,the lady promised the president the machine .
a meal delivered an uncle for a flower .,a meal delivered a flower an uncle .,the lady promised the machine to the president .,the lady promised the president the machine .
a juice made a cousin for a jacket .,a juice made a jacket a cousin .,the lady promised the machine to the president .,the lady promised the president the machine .
an iron designed a daughter for a jacket .,an iron designed a jacket a daughter .,the lady promised the machine to the president .,the lady promised the president the machine .
a plate designed a winner for a coat .,a plate designed a coat a winner .,the lady promised the machine to the president .,the lady promised the president the machine .
a coat caught a captain for a camera .,a coat caught a camera a captain .,the lady promised the machine to the president .,the lady promised the president the machine .
a cheese saved a corporation for a television .,a cheese saved a television a corporation .,the lady promised the machine to the president .,the lady promised the president the machine .
the cigarette made the guy for the gun .,the cigarette made the gun the guy .,a lady sent a juice to a club .,a lady sent a club a juice .
the crystal found the sheriff for the bowl .,the crystal found the bowl the sheriff .,a lady sent a juice to a club .,a lady sent a club a juice .
the tea drew the reader for the bell .,the tea drew the bell the reader .,a lady sent a juice to a club .,a lady sent a club a juice .
the chicken left the worker for the hat .,the chicken left the hat the worker .,a lady sent a juice to a club .,a lady sent a club a juice .
the flower made the attorney for the crystal .,the flower made the crystal the attorney .,a lady sent a juice to a club .,a lady sent a club a juice .
the candy drew the chief for the bag .,the candy drew the bag the chief .,a lady sent a juice to a club .,a lady sent a club a juice .
the meal found the cousin for the anchor .,the meal found the anchor the cousin .,a lady sent a juice to a club .,a lady sent a club a juice .
the bell left the husband for the guitar .,the bell left the guitar the husband .,a lady sent a juice to a club .,a lady sent a club a juice .
the wire caught the student for the cheese .,the wire caught the cheese the student .,a lady sent a juice to a club .,a lady sent a club a juice .
the guitar purchased the chief for the bag .,the guitar purchased the bag the chief .,a lady sent a juice to a club .,a lady sent a club a juice .
a cigarette promised a woman to a chocolate .,a cigarette promised a chocolate a woman .,the kid caught the camera for the friend .,the kid caught the friend the camera .
a plate supplied an administration to a gun .,a plate supplied a gun an administration .,the kid caught the camera for the friend .,the kid caught the friend the camera .
a cigarette sent a colonel to a cup .,a cigarette sent a cup a colonel .,the kid caught the camera for the friend .,the kid caught the friend the camera .
a cheese took a student to a salad .,a cheese took a salad a student .,the kid caught the camera for the friend .,the kid caught the friend the camera .
