pa, pp, ta, tp
the student destroyed the tea .,the tea was destroyed by the student .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the prince destroyed the log .,the log was destroyed by the prince .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the uncle destroyed the beer .,the beer was destroyed by the uncle .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the woman destroyed the candy .,the candy was destroyed by the woman .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the mother destroyed the chicken .,the chicken was destroyed by the mother .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the author destroyed the jacket .,the jacket was destroyed by the author .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the partner destroyed the prince .,the prince was destroyed by the partner .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the reader destroyed the author .,the author was destroyed by the reader .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the lawyer destroyed the beer .,the beer was destroyed by the lawyer .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
the daughter destroyed the log .,the log was destroyed by the daughter .,a candidate breaks a cigarette .,a cigarette is broken by a candidate .
a singer destroyed a chicken .,a chicken was destroyed by a singer .,the adult kills the daughter .,the daughter is killed by the adult .
a lawyer destroyed a beer .,a beer was destroyed by a lawyer .,the adult kills the daughter .,the daughter is killed by the adult .
a sheriff hurt a president .,a president was hurt by a sheriff .,the adult kills the daughter .,the daughter is killed by the adult .
a man destroyed a meal .,a meal was destroyed by a man .,the adult kills the daughter .,the daughter is killed by the adult .
a boy hurt a club .,a club was hurt by a boy .,the adult kills the daughter .,the daughter is killed by the adult .
an author hurt an administration .,an administration was hurt by an author .,the adult kills the daughter .,the daughter is killed by the adult .
a boy destroyed a beer .,a beer was destroyed by a boy .,the adult kills the daughter .,the daughter is killed by the adult .
a guy destroyed a coat .,a coat was destroyed by a guy .,the adult kills the daughter .,the daughter is killed by the adult .
a reader hurt a band .,a band was hurt by a reader .,the adult kills the daughter .,the daughter is killed by the adult .
a lawyer destroyed a prince .,a prince was destroyed by a lawyer .,the adult kills the daughter .,the daughter is killed by the adult .
the parent ate the chicken .,the chicken was eaten by the parent .,a worker drinks a juice .,a juice is drunk by a worker .
the princess ate the chocolate .,the chocolate was eaten by the princess .,a worker drinks a juice .,a juice is drunk by a worker .
the guest ate the cheese .,the cheese was eaten by the guest .,a worker drinks a juice .,a juice is drunk by a worker .
the nurse ate the meal .,the meal was eaten by the nurse .,a worker drinks a juice .,a juice is drunk by a worker .
the attorney ate the pie .,the pie was eaten by the attorney .,a worker drinks a juice .,a juice is drunk by a worker .
the soldier ate the pie .,the pie was eaten by the soldier .,a worker drinks a juice .,a juice is drunk by a worker .
the scientist ate the salad .,the salad was eaten by the scientist .,a worker drinks a juice .,a juice is drunk by a worker .
