ppo, pdo, tpo, tdo
the priest caught the computer for the scientist .,the priest caught the scientist the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest left the computer for the nurse .,the priest left the nurse the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest caught the computer for the lawyer .,the priest caught the lawyer the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest caught the computer for the lawyer .,the priest caught the lawyer the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the father purchased the computer for the lawyer .,the father purchased the lawyer the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the father bought the computer for the scientist .,the father bought the scientist the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest bought the computer for the physician .,the priest bought the physician the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest caught the computer for the lawyer .,the priest caught the lawyer the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the priest caught the computer for the physician .,the priest caught the physician the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the father purchased the computer for the lawyer .,the father purchased the lawyer the computer .,a minister brought a key to a doctor .,a minister brought a doctor a key .
the brother bought the book for the woman .,the brother bought the woman the book .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the child caught the book for the father .,the child caught the father the book .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the girl bought the wire for the friend .,the girl bought the friend the wire .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the son caught the television for the kid .,the son caught the kid the television .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the kid caught the television for the father .,the kid caught the father the television .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the soldier caught the book for the friend .,the soldier caught the friend the book .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the partner caught the wire for the wife .,the partner caught the wife the wire .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the child caught the book for the woman .,the child caught the woman the book .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the guy caught the television for the friend .,the guy caught the friend the television .,a boy took a telephone to a mother .,a boy took a mother a telephone .
the child caught the book for the wife .,the child caught the wife the book .,a boy took a telephone to a mother .,a boy took a mother a telephone .
a parent took a machine to an employer .,a parent took an employer a machine .,the child caught the gun for the employee .,the child caught the employee the gun .
an adult gave a machine to a worker .,an adult gave a worker a machine .,the child caught the gun for the employee .,the child caught the employee the gun .
a daughter took a machine to a manager .,a daughter took a manager a machine .,the child caught the gun for the employee .,the child caught the employee the gun .
a mother took a knife to a worker .,a mother took a worker a knife .,the child caught the gun for the employee .,the child caught the employee the gun .
an adult took a machine to a worker .,an adult took a worker a machine .,the child caught the gun for the employee .,the child caught the employee the gun .
a daughter took a knife to a secretary .,a daughter took a secretary a knife .,the child caught the gun for the employee .,the child caught the employee the gun .
a kid brought a knife to a secretary .,a kid brought a secretary a knife .,the child caught the gun for the employee .,the child caught the employee the gun .
a mother took a knife to a worker .,a mother took a worker a knife .,the child caught the gun for the employee .,the child caught the employee the gun .
a mother took a machine to a secretary .,a mother took a secretary a machine .,the child caught the gun for the employee .,the child caught the employee the gun .
