pa, pp, ta, tp
the woman judged the parent .,the parent was judged by the woman .,a friendly candidate leads a company .,a company is led by a friendly candidate .
the administration protected the mother .,the mother was protected by the administration .,a handsome candidate leads a company .,a company is led by a handsome candidate .
the hero forgot the tea .,the tea was forgotten by the hero .,a serious candidate leads a company .,a company is led by a serious candidate .
the chief tasted the cheese .,the cheese was tasted by the chief .,a sad candidate leads a company .,a company is led by a sad candidate .
the pilot chased the bishop .,the bishop was chased by the pilot .,a tall candidate leads a company .,a company is led by a tall candidate .
the uncle smelled the computer .,the computer was smelled by the uncle .,a scary candidate leads a company .,a company is led by a scary candidate .
the guy discovered the bowl .,the bowl was discovered by the guy .,a friendly candidate leads a company .,a company is led by a friendly candidate .
the teacher described the mother .,the mother was described by the teacher .,a jewish candidate leads a company .,a company is led by a jewish candidate .
the army used the plate .,the plate was used by the army .,a southern candidate leads a company .,a company is led by a southern candidate .
the actor destroyed the tea .,the tea was destroyed by the actor .,a ill candidate leads a company .,a company is led by a ill candidate .
a mayor describes a plate .,a plate is described by a mayor .,the stupid friend embraced the soldier .,the soldier was embraced by the stupid friend .
a candidate kills a hero .,a hero is killed by a candidate .,the strong friend embraced the soldier .,the soldier was embraced by the strong friend .
a sheriff hurries a kid .,a kid is hurried by a sheriff .,the good friend embraced the soldier .,the soldier was embraced by the good friend .
an employer selects a salad .,a salad is selected by an employer .,the catholic friend embraced the soldier .,the soldier was embraced by the catholic friend .
a woman smells a meal .,a meal is smelled by a woman .,the fair friend embraced the soldier .,the soldier was embraced by the fair friend .
a guy wraps a key .,a key is wrapped by a guy .,the responsible friend embraced the soldier .,the soldier was embraced by the responsible friend .
an attorney grabs an actor .,an actor is grabbed by an attorney .,the brave friend embraced the soldier .,the soldier was embraced by the brave friend .
a parent grabs a salad .,a salad is grabbed by a parent .,the french friend embraced the soldier .,the soldier was embraced by the french friend .
a student grabs a candy .,a candy is grabbed by a student .,the sweet friend embraced the soldier .,the soldier was embraced by the sweet friend .
a leader forgets a crystal .,a crystal is forgotten by a leader .,the powerful friend embraced the soldier .,the soldier was embraced by the powerful friend .
the mayor understands the princess .,the princess is understood by the mayor .,a healthy buddy kissed a child .,a child was kissed by a healthy buddy .
the aunt leaves the camera .,the camera is left by the aunt .,a wise buddy kissed a child .,a child was kissed by a wise buddy .
the sheriff helps the author .,the author is helped by the sheriff .,a sensitive buddy kissed a child .,a child was kissed by a sensitive buddy .
the opponent hurries the reader .,the reader is hurried by the opponent .,a funny buddy kissed a child .,a child was kissed by a funny buddy .
the professor tastes the cheese .,the cheese is tasted by the professor .,a terrible buddy kissed a child .,a child was kissed by a terrible buddy .
the scientist eats the salad .,the salad is eaten by the scientist .,a fair buddy kissed a child .,a child was kissed by a fair buddy .
the aunt carries the salad .,the salad is carried by the aunt .,a odd buddy kissed a child .,a child was kissed by a odd buddy .
the teacher forgets the coffee .,the coffee is forgotten by the teacher .,a silent buddy kissed a child .,a child was kissed by a silent buddy .
the sheriff selects the bishop .,the bishop is selected by the sheriff .,a tough buddy kissed a child .,a child was kissed by a tough buddy .
the actor teaches the worker .,the worker is taught by the actor .,a tired buddy kissed a child .,a child was kissed by a tired buddy .
the girl comforts the colonel .,the colonel is comforted by the girl .,a bright doctor drank a juice .,a juice was drunk by a bright doctor .
the child washes the instrument .,the instrument is washed by the child .,a sensitive doctor drank a juice .,a juice was drunk by a sensitive doctor .
the buddy tastes the salad .,the salad is tasted by the buddy .,a kind doctor drank a juice .,a juice was drunk by a kind doctor .
the hero kills the girl .,the girl is killed by the hero .,a famous doctor drank a juice .,a juice was drunk by a famous doctor .
the prince grabs the salad .,the salad is grabbed by the prince .,a dangerous doctor drank a juice .,a juice was drunk by a dangerous doctor .
the aunt tastes the chicken .,the chicken is tasted by the aunt .,a poor doctor drank a juice .,a juice was drunk by a poor doctor .
the partner follows the business .,the business is followed by the partner .,a rough doctor drank a juice .,a juice was drunk by a rough doctor .
the champion asks the king .,the king is asked by the champion .,a criminal doctor drank a juice .,a juice was drunk by a criminal doctor .
the captain catches the jacket .,the jacket is caught by the captain .,a bad doctor drank a juice .,a juice was drunk by a bad doctor .
the cop tastes the chocolate .,the chocolate is tasted by the cop .,a criminal doctor drank a juice .,a juice was drunk by a criminal doctor .
a hero bothers a colonel .,a colonel is bothered by a hero .,the chinese minister purchased the beer .,the beer was purchased by the chinese minister .
a cousin selects a cheese .,a cheese is selected by a cousin .,the terrible minister purchased the beer .,the beer was purchased by the terrible minister .
a colonel wraps an engine .,an engine is wrapped by a colonel .,the bright minister purchased the beer .,the beer was purchased by the bright minister .
a champion prepares a book .,a book is prepared by a champion .,the ordinary minister purchased the beer .,the beer was purchased by the ordinary minister .
a professor catches a box .,a box is caught by a professor .,the religious minister purchased the beer .,the beer was purchased by the religious minister .
a cop raises a cousin .,a cousin is raised by a cop .,the odd minister purchased the beer .,the beer was purchased by the odd minister .
a mother smells a salad .,a salad is smelled by a mother .,the modern minister purchased the beer .,the beer was purchased by the modern minister .
a teacher comforts a partner .,a partner is comforted by a teacher .,the reliable minister purchased the beer .,the beer was purchased by the reliable minister .
a writer catches an adult .,an adult is caught by a writer .,the crazy minister purchased the beer .,the beer was purchased by the crazy minister .
an attorney hurts a club .,a club is hurt by an attorney .,the guilty minister purchased the beer .,the beer was purchased by the guilty minister .
a parent bothers a band .,a band is bothered by a parent .,the friendly guy removed the motor .,the motor was removed by the friendly guy .
a champion kills a physician .,a physician is killed by a champion .,the foreign guy removed the motor .,the motor was removed by the foreign guy .
a nurse judges a corporation .,a corporation is judged by a nurse .,the reliable guy removed the motor .,the motor was removed by the reliable guy .
a writer protects a hero .,a hero is protected by a writer .,the criminal guy removed the motor .,the motor was removed by the criminal guy .
a father grabs a candy .,a candy is grabbed by a father .,the violent guy removed the motor .,the motor was removed by the violent guy .
a cop smells a salad .,a salad is smelled by a cop .,the sensitive guy removed the motor .,the motor was removed by the sensitive guy .
a pilot carries a tea .,a tea is carried by a pilot .,the loud guy removed the motor .,the motor was removed by the loud guy .
a friend accepts an anchor .,an anchor is accepted by a friend .,the rough guy removed the motor .,the motor was removed by the rough guy .
a king describes an anchor .,an anchor is described by a king .,the guilty guy removed the motor .,the motor was removed by the guilty guy .
a chief kisses a candidate .,a candidate is kissed by a chief .,the foreign guy removed the motor .,the motor was removed by the foreign guy .
