ppo, pdo, tpo, tdo
a mayor purchased a gun for a corporation .,a mayor purchased a corporation a gun .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a soldier bought a crystal for a guy .,a soldier bought a guy a crystal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a son bought a telephone for a guest .,a son bought a guest a telephone .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a boy made a television for a student .,a boy made a student a television .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a chief saved a camera for an administration .,a chief saved an administration a camera .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a minister found a meal for a club .,a minister found a club a meal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a girl found a coffee for a princess .,a girl found a princess a coffee .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a leader left a pie for a chief .,a leader left a chief a pie .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
an employee left a pot for a sheriff .,an employee left a sheriff a pot .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
an attorney saved a bowl for a manager .,an attorney saved a manager a bowl .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a secretary sold a juice to a manager .,a secretary sold a manager a juice .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a buddy promised a meal to a priest .,a buddy promised a priest a meal .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a cop showed a book to a bishop .,a cop showed a bishop a book .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a captain threw a pie to a partner .,a captain threw a partner a pie .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a parent supplied a meal to a hero .,a parent supplied a hero a meal .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a singer fed a chicken to a chief .,a singer fed a chief a chicken .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
an aunt sold a beer to a mayor .,an aunt sold a mayor a beer .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a princess supplied a cheese to a club .,a princess supplied a club a cheese .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a girl promised a chocolate to a pilot .,a girl promised a pilot a chocolate .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a son fed a chicken to a friend .,a son fed a friend a chicken .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
