ppo, pdo, tpo, tdo
a colonel supplied a chicken to an army .,a colonel supplied an army a chicken .,a president threw a meal to a man .,a president threw a man a meal .
a girl showed a juice to an adult .,a girl showed an adult a juice .,a president threw a meal to a man .,a president threw a man a meal .
a parent sent a tea to a princess .,a parent sent a princess a tea .,a president threw a meal to a man .,a president threw a man a meal .
a priest promised a beer to a son .,a priest promised a son a beer .,a president threw a meal to a man .,a president threw a man a meal .
a doctor sold a bag to an employer .,a doctor sold an employer a bag .,a president threw a meal to a man .,a president threw a man a meal .
a captain showed a bowl to a company .,a captain showed a company a bowl .,a president threw a meal to a man .,a president threw a man a meal .
a doctor showed an engine to a nurse .,a doctor showed a nurse an engine .,a president threw a meal to a man .,a president threw a man a meal .
a winner sent a bottle to an army .,a winner sent an army a bottle .,a president threw a meal to a man .,a president threw a man a meal .
a doctor showed a glass to a company .,a doctor showed a company a glass .,a president threw a meal to a man .,a president threw a man a meal .
a colonel took a knife to a pilot .,a colonel took a pilot a knife .,a president threw a meal to a man .,a president threw a man a meal .
the pilot purchased the bottle for the writer .,the pilot purchased the writer the bottle .,the partner saved the juice for the company .,the partner saved the company the juice .
the author caught the bottle for the cousin .,the author caught the cousin the bottle .,the partner saved the juice for the company .,the partner saved the company the juice .
the president found the tea for the worker .,the president found the worker the tea .,the partner saved the juice for the company .,the partner saved the company the juice .
the army designed the book for the band .,the army designed the band the book .,the partner saved the juice for the company .,the partner saved the company the juice .
the princess designed the box for the attorney .,the princess designed the attorney the box .,the partner saved the juice for the company .,the partner saved the company the juice .
the opponent got the chicken for the administration .,the opponent got the administration the chicken .,the partner saved the juice for the company .,the partner saved the company the juice .
the husband bought the camera for the lady .,the husband bought the lady the camera .,the partner saved the juice for the company .,the partner saved the company the juice .
the parent drew the anchor for the author .,the parent drew the author the anchor .,the partner saved the juice for the company .,the partner saved the company the juice .
the author made the bottle for the club .,the author made the club the bottle .,the partner saved the juice for the company .,the partner saved the company the juice .
the captain caught the crystal for the bishop .,the captain caught the bishop the crystal .,the partner saved the juice for the company .,the partner saved the company the juice .
a princess made a card for a club .,a princess made a club a card .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a son drew a book for a business .,a son drew a business a book .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a guest found a cup for an attorney .,a guest found an attorney a cup .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a prince made a card for a business .,a prince made a business a card .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a champion purchased a chicken for a club .,a champion purchased a club a chicken .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a chief designed a wire for a reader .,a chief designed a reader a wire .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
an administration designed a motor for a band .,an administration designed a band a motor .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a chief drew a key for an army .,a chief drew an army a key .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a champion made a hat for a leader .,a champion made a leader a hat .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a priest kept a cheese for a winner .,a priest kept a winner a cheese .,a secretary left a chocolate for a wife .,a secretary left a wife a chocolate .
a partner threw a pot to a guest .,a partner threw a guest a pot .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a manager sold a coffee to a girl .,a manager sold a girl a coffee .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a professor showed a log to a child .,a professor showed a child a log .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a woman promised a coffee to a kid .,a woman promised a kid a coffee .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a champion promised a chocolate to a cop .,a champion promised a cop a chocolate .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a pilot showed a pie to an employee .,a pilot showed an employee a pie .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
an employer promised a candy to a colonel .,an employer promised a colonel a candy .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a teacher fed a salad to a colonel .,a teacher fed a colonel a salad .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a guest showed a pie to an administration .,a guest showed an administration a pie .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a student brought a glass to a business .,a student brought a business a glass .,an aunt sent a guitar to a physician .,an aunt sent a physician a guitar .
a partner delivered a coffee for a guest .,a partner delivered a guest a coffee .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a king caught a guitar for a scientist .,a king caught a scientist a guitar .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a lawyer got an instrument for a secretary .,a lawyer got a secretary an instrument .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a physician caught a flower for a scientist .,a physician caught a scientist a flower .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a president bought a pie for an employer .,a president bought an employer a pie .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a father purchased a coffee for a cop .,a father purchased a cop a coffee .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a champion saved a juice for a writer .,a champion saved a writer a juice .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a prince delivered a newspaper for a champion .,a prince delivered a champion a newspaper .,a chief found a bottle for a wife .,a chief found a wife a bottle .
a minister caught a ball for a soldier .,a minister caught a soldier a ball .,a chief found a bottle for a wife .,a chief found a wife a bottle .
an employee purchased a tea for a club .,an employee purchased a club a tea .,a chief found a bottle for a wife .,a chief found a wife a bottle .
