ppo, pdo, tpo, tdo
an uncle bought a candy for a captain .,an uncle bought a captain a candy .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a cop bought a juice for a buddy .,a cop bought a buddy a juice .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a leader bought a chocolate for a captain .,a leader bought a captain a chocolate .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a daughter bought a tea for a writer .,a daughter bought a writer a tea .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a colonel bought a pot for an author .,a colonel bought an author a pot .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a brother bought a motor for a cop .,a brother bought a cop a motor .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a singer bought a cheese for an author .,a singer bought an author a cheese .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a mayor bought a plate for a guest .,a mayor bought a guest a plate .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a daughter bought a salad for a child .,a daughter bought a child a salad .,the guy bought the key for the secretary .,the guy bought the secretary the key .
a colonel bought a beer for a student .,a colonel bought a student a beer .,the guy bought the key for the secretary .,the guy bought the secretary the key .
the cop delivered the juice for the guy .,the cop delivered the guy the juice .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the president delivered the chicken for the cop .,the president delivered the cop the chicken .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the soldier delivered the salad for the priest .,the soldier delivered the priest the salad .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the cousin delivered the tea for the uncle .,the cousin delivered the uncle the tea .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the pilot delivered the bowl for the adult .,the pilot delivered the adult the bowl .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the husband delivered the crystal for the actor .,the husband delivered the actor the crystal .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the professor delivered the knife for the lawyer .,the professor delivered the lawyer the knife .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the guest delivered the button for the manager .,the guest delivered the manager the button .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the champion delivered the coffee for the reader .,the champion delivered the reader the coffee .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the physician delivered the motor for the cop .,the physician delivered the cop the motor .,a lady delivered a machine for a buddy .,a lady delivered a buddy a machine .
the prince kept the meal for the priest .,the prince kept the priest the meal .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the king kept the anchor for the president .,the king kept the president the anchor .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the teacher kept the beer for the business .,the teacher kept the business the beer .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the winner kept the tea for the attorney .,the winner kept the attorney the tea .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the chief kept the telephone for the professor .,the chief kept the professor the telephone .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the opponent kept the chicken for the champion .,the opponent kept the champion the chicken .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the actress kept the meal for the chief .,the actress kept the chief the meal .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the prince kept the instrument for the company .,the prince kept the company the instrument .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the bishop kept the chocolate for the minister .,the bishop kept the minister the chocolate .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the son kept the book for the pilot .,the son kept the pilot the book .,a secretary kept a plate for a kid .,a secretary kept a kid a plate .
the colonel promised the log to the student .,the colonel promised the student the log .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the mayor promised the tea to the captain .,the mayor promised the captain the tea .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the actor promised the knife to the bishop .,the actor promised the bishop the knife .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the secretary promised the hat to the doctor .,the secretary promised the doctor the hat .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the guest promised the coffee to the nurse .,the guest promised the nurse the coffee .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the guest promised the chocolate to the aunt .,the guest promised the aunt the chocolate .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the employer promised the coffee to the president .,the employer promised the president the coffee .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the professor promised the hat to the uncle .,the professor promised the uncle the hat .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the secretary promised the coffee to the brother .,the secretary promised the brother the coffee .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the child promised the chicken to the employer .,the child promised the employer the chicken .,a prince promised a glass to a partner .,a prince promised a partner a glass .
the brother kept the television for the priest .,the brother kept the priest the television .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the aunt kept the bowl for the sheriff .,the aunt kept the sheriff the bowl .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the guy kept the chocolate for the corporation .,the guy kept the corporation the chocolate .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the buddy kept the coffee for the band .,the buddy kept the band the coffee .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the professor kept the chicken for the company .,the professor kept the company the chicken .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the physician kept the bell for the club .,the physician kept the club the bell .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the girl kept the chocolate for the administration .,the girl kept the administration the chocolate .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the opponent kept the camera for the manager .,the opponent kept the manager the camera .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the partner kept the beer for the corporation .,the partner kept the corporation the beer .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the actress kept the coffee for the secretary .,the actress kept the secretary the coffee .,a captain kept a cheese for a king .,a captain kept a king a cheese .
the employer kept the jacket for the soldier .,the employer kept the soldier the jacket .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the student kept the plate for the lady .,the student kept the lady the plate .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the aunt kept the meal for the uncle .,the aunt kept the uncle the meal .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the hero kept the iron for the wife .,the hero kept the wife the iron .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the minister kept the salad for the uncle .,the minister kept the uncle the salad .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the actor kept the tea for the company .,the actor kept the company the tea .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the employee kept the cheese for the business .,the employee kept the business the cheese .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the worker kept the tea for the army .,the worker kept the army the tea .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the partner kept the tea for the author .,the partner kept the author the tea .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the colonel kept the box for the business .,the colonel kept the business the box .,a mayor kept a beer for a doctor .,a mayor kept a doctor a beer .
the worker bought the chocolate for the student .,the worker bought the student the chocolate .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the daughter bought the coat for the reader .,the daughter bought the reader the coat .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the employer bought the beer for the princess .,the employer bought the princess the beer .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the physician bought the beer for the bishop .,the physician bought the bishop the beer .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the worker bought the coffee for the woman .,the worker bought the woman the coffee .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the champion bought the juice for the son .,the champion bought the son the juice .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the uncle bought the television for the brother .,the uncle bought the brother the television .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the adult bought the coffee for the writer .,the adult bought the writer the coffee .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the prince bought the beer for the winner .,the prince bought the winner the beer .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the priest bought the beer for the husband .,the priest bought the husband the beer .,a scientist bought an iron for a leader .,a scientist bought a leader an iron .
the opponent fed the candy to the cousin .,the opponent fed the cousin the candy .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the parent fed the candy to the kid .,the parent fed the kid the candy .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the author fed the candy to the princess .,the author fed the princess the candy .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the candidate fed the pie to the champion .,the candidate fed the champion the pie .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the child fed the salad to the teacher .,the child fed the teacher the salad .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the guest fed the candy to the actor .,the guest fed the actor the candy .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the aunt fed the cheese to the leader .,the aunt fed the leader the cheese .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the guy fed the candy to the soldier .,the guy fed the soldier the candy .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the writer fed the chocolate to the parent .,the writer fed the parent the chocolate .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the employee fed the cheese to the wife .,the employee fed the wife the cheese .,a priest fed a meal to a doctor .,a priest fed a doctor a meal .
the opponent found the camera for the author .,the opponent found the author the camera .,an attorney found a bell for a club .,an attorney found a club a bell .
the kid found the candy for the band .,the kid found the band the candy .,an attorney found a bell for a club .,an attorney found a club a bell .
the actor found the candy for the girl .,the actor found the girl the candy .,an attorney found a bell for a club .,an attorney found a club a bell .
the boy found the candy for the army .,the boy found the army the candy .,an attorney found a bell for a club .,an attorney found a club a bell .
the hero found the plate for the band .,the hero found the band the plate .,an attorney found a bell for a club .,an attorney found a club a bell .
the professor found the beer for the army .,the professor found the army the beer .,an attorney found a bell for a club .,an attorney found a club a bell .
the friend found the tea for the minister .,the friend found the minister the tea .,an attorney found a bell for a club .,an attorney found a club a bell .
the buddy found the meal for the man .,the buddy found the man the meal .,an attorney found a bell for a club .,an attorney found a club a bell .
