pa, pp, ta, tp
an author breaks a card . he will remain . he will appear . i might come . it will remain .,a card is broken by an author . she will come . he might come . you might go . i did stay .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a wife describes a juice . they might stay . he might remain . she did stay . they can remain .,a juice is described by a wife . he can exist . i will stay . you can go . she will stay .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a wife wraps a bowl . you can stay . you will remain . they can go . he did stay .,a bowl is wrapped by a wife . she might come . he did exist . you did exist . they might stay .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a king kills a mayor . he can exist . they did go . you will exist . i might appear .,a mayor is killed by a king . they can come . they might go . he might appear . it did exist .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a captain strikes a guy . you should go . they can exist . you might appear . it should remain .,a guy is struck by a captain . she did go . i might go . it did remain . i did go .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a prince protects a captain . they will stay . he can go . i should exist . it might exist .,a captain is protected by a prince . she will come . it might exist . he will go . they might go .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
an administration keeps a knife . she can appear . you should exist . you will exist . i might come .,a knife is kept by an administration . i might remain . it did stay . you can remain . he might come .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a woman wraps a hat . he might exist . she should go . he can remain . he should exist .,a hat is wrapped by a woman . you should exist . they did stay . you did exist . you will stay .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a child understands a wife . i did stay . i might come . they can exist . i should go .,a wife is understood by a child . he might come . she did remain . she can come . she will go .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a sheriff accepts an instrument . she might stay . it can remain . they did exist . they might appear .,an instrument is accepted by a sheriff . she did go . i did appear . it should remain . he might exist .,the nurse forgot the chicken .,the chicken was forgotten by the nurse .
a scientist smelled a motor . you might go . it did exist . it should remain . it can exist .,a motor was smelled by a scientist . he did come . it should exist . you did appear . they might go .,the mayor hurries the champion .,the champion is hurried by the mayor .
a lawyer collected a beer . they did appear . they might exist . she can remain . you did remain .,a beer was collected by a lawyer . you did go . they will go . i did stay . they will stay .,the mayor hurries the champion .,the champion is hurried by the mayor .
a singer understood a teacher . you did remain . he can remain . i did appear . you can go .,a teacher was understood by a singer . i should exist . she did come . it did appear . you might stay .,the mayor hurries the champion .,the champion is hurried by the mayor .
a pilot prepared a cheese . i might remain . he can appear . i should appear . you should go .,a cheese was prepared by a pilot . he will exist . it might remain . it should appear . he did stay .,the mayor hurries the champion .,the champion is hurried by the mayor .
a kid embraced a cop . you should go . she did stay . i should go . they will go .,a cop was embraced by a kid . you did stay . she did remain . i should go . they might exist .,the mayor hurries the champion .,the champion is hurried by the mayor .
an army used a camera . he did come . they might exist . they might come . he did appear .,a camera was used by an army . they can go . he should go . it should stay . it did stay .,the mayor hurries the champion .,the champion is hurried by the mayor .
a lawyer protected a manager . he did go . i did stay . they can appear . he did come .,a manager was protected by a lawyer . it will exist . it should remain . it will come . it can come .,the mayor hurries the champion .,the champion is hurried by the mayor .
an attorney comforted an opponent . you will remain . they can go . she did appear . he will stay .,an opponent was comforted by an attorney . it can exist . i can stay . he did exist . you should exist .,the mayor hurries the champion .,the champion is hurried by the mayor .
a prince judged a corporation . it might come . you might remain . they can come . they might stay .,a corporation was judged by a prince . it did go . i will stay . i should remain . it might come .,the mayor hurries the champion .,the champion is hurried by the mayor .
a cop broke a hat . you will come . you can exist . you can remain . it can come .,a hat was broken by a cop . i did appear . i will stay . he should come . they should exist .,the mayor hurries the champion .,the champion is hurried by the mayor .
the father judges the corporation . it should come . she will go . it might go . they can exist .,the corporation is judged by the father . he might appear . you might come . it can exist . she should exist .,a friend dragged a guitar .,a guitar was dragged by a friend .
the opponent understands the uncle . it might exist . i will exist . it can exist . it should stay .,the uncle is understood by the opponent . it will appear . i might come . they will exist . he will remain .,a friend dragged a guitar .,a guitar was dragged by a friend .
the child punches the president . you will go . they can appear . she might stay . he did appear .,the president is punched by the child . you did stay . she did go . they might stay . she will remain .,a friend dragged a guitar .,a guitar was dragged by a friend .
the champion teaches the manager . i did appear . i will appear . you can stay . she should exist .,the manager is taught by the champion . she will come . you will come . i might go . they might remain .,a friend dragged a guitar .,a guitar was dragged by a friend .
the manager wants the juice . you should stay . they can appear . it will stay . they should remain .,the juice is wanted by the manager . it should go . they should exist . you might go . it might stay .,a friend dragged a guitar .,a guitar was dragged by a friend .
the candidate discovers the student . you will go . i will come . they should remain . you did remain .,the student is discovered by the candidate . she should stay . he might come . they can go . they did go .,a friend dragged a guitar .,a guitar was dragged by a friend .
the chief beats the manager . you should exist . he did appear . it should remain . she should come .,the manager is beaten by the chief . they can stay . you should exist . they did appear . it will stay .,a friend dragged a guitar .,a guitar was dragged by a friend .
the woman hurts the champion . i will exist . it might appear . they will go . she can remain .,the champion is hurt by the woman . you did stay . i might remain . i might appear . they might stay .,a friend dragged a guitar .,a guitar was dragged by a friend .
the adult describes the chief . i will exist . she can exist . you did stay . you did exist .,the chief is described by the adult . he did go . i should appear . you will remain . it might remain .,a friend dragged a guitar .,a guitar was dragged by a friend .
the champion describes the juice . he should stay . i might remain . they can appear . they did appear .,the juice is described by the champion . you did appear . i will stay . it should appear . you did go .,a friend dragged a guitar .,a guitar was dragged by a friend .
a business protected a sheriff . you should go . it will appear . he might remain . he will go .,a sheriff was protected by a business . she will exist . they might come . it can stay . they can go .,the leader washes the guest .,the guest is washed by the leader .
a father beat a husband . you will appear . he will stay . you will go . you should appear .,a husband was beaten by a father . you will remain . i will exist . you should appear . it did stay .,the leader washes the guest .,the guest is washed by the leader .
an employee dragged a hero . it did go . she did come . it will come . he did stay .,a hero was dragged by an employee . she will remain . you will come . you can go . they did come .,the leader washes the guest .,the guest is washed by the leader .
a bishop taught a nurse . they will go . i should remain . they should exist . they can remain .,a nurse was taught by a bishop . they might exist . i did stay . i might stay . it can remain .,the leader washes the guest .,the guest is washed by the leader .
a son understood a child . they did appear . it should come . it should go . it should come .,a child was understood by a son . i can come . they should remain . it might appear . you did stay .,the leader washes the guest .,the guest is washed by the leader .
an adult tasted a cheese . it should come . i did exist . they will stay . she did exist .,a cheese was tasted by an adult . he will exist . he did stay . she did stay . he will exist .,the leader washes the guest .,the guest is washed by the leader .
an employer struck a soldier . you should come . they might come . it can appear . i should remain .,a soldier was struck by an employer . you should come . she might go . it can stay . i did come .,the leader washes the guest .,the guest is washed by the leader .
a secretary asked a corporation . she should appear . she might appear . it should come . it can come .,a corporation was asked by a secretary . it will go . i will remain . i might stay . he will exist .,the leader washes the guest .,the guest is washed by the leader .
an adult wanted a tea . you did remain . i should exist . i should appear . they might stay .,a tea was wanted by an adult . they did stay . it should appear . i should exist . i might exist .,the leader washes the guest .,the guest is washed by the leader .
an uncle struck a professor . it did remain . she should stay . he can go . they can stay .,a professor was struck by an uncle . they did come . she can exist . you will go . it did appear .,the leader washes the guest .,the guest is washed by the leader .
an army purchased a coffee . you should stay . he might stay . i might stay . i did stay .,a coffee was purchased by an army . they can come . she will go . he might go . she can come .,the king smells the meal .,the meal is smelled by the king .
