ppo, pdo, tpo, tdo
a southern mayor purchased a gun for a corporation .,a southern mayor purchased a corporation a gun .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a powerful soldier bought a crystal for a guy .,a powerful soldier bought a guy a crystal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a friendly son bought a telephone for a guest .,a friendly son bought a guest a telephone .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a modern boy made a television for a student .,a modern boy made a student a television .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a responsible chief saved a camera for an administration .,a responsible chief saved an administration a camera .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a sensitive minister found a meal for a club .,a sensitive minister found a club a meal .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a french girl found a coffee for a princess .,a french girl found a princess a coffee .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a silent leader left a pie for a chief .,a silent leader left a chief a pie .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
an honest employee left a pot for a sheriff .,an honest employee left a sheriff a pot .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
an alert attorney saved a bowl for a manager .,an alert attorney saved a manager a bowl .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a bad secretary sold a juice to a manager .,a bad secretary sold a manager a juice .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a holy buddy promised a meal to a priest .,a holy buddy promised a priest a meal .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a funny cop showed a book to a bishop .,a funny cop showed a bishop a book .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a healthy captain threw a pie to a partner .,a healthy captain threw a partner a pie .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a friendly parent supplied a meal to a hero .,a friendly parent supplied a hero a meal .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a foreign singer fed a chicken to a chief .,a foreign singer fed a chief a chicken .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
an athletic aunt sold a beer to a mayor .,an athletic aunt sold a mayor a beer .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a young princess supplied a cheese to a club .,a young princess supplied a club a cheese .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a wonderful girl promised a chocolate to a pilot .,a wonderful girl promised a pilot a chocolate .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a sad son fed a chicken to a friend .,a sad son fed a friend a chicken .,the doctor delivered the anchor for the kid .,the doctor delivered the kid the anchor .
a jewish pilot drew a crystal for a company .,a jewish pilot drew a company a crystal .,the hero brought the book to the partner .,the hero brought the partner the book .
a healthy captain drew a crystal for a daughter .,a healthy captain drew a daughter a crystal .,the hero brought the book to the partner .,the hero brought the partner the book .
a peaceful kid purchased an anchor for an army .,a peaceful kid purchased an army an anchor .,the hero brought the book to the partner .,the hero brought the partner the book .
an illegal actor bought a coffee for a father .,an illegal actor bought a father a coffee .,the hero brought the book to the partner .,the hero brought the partner the book .
a cool lady kept a tea for a brother .,a cool lady kept a brother a tea .,the hero brought the book to the partner .,the hero brought the partner the book .
a sick husband designed a hat for a guest .,a sick husband designed a guest a hat .,the hero brought the book to the partner .,the hero brought the partner the book .
an illegal army designed a gun for an administration .,an illegal army designed an administration a gun .,the hero brought the book to the partner .,the hero brought the partner the book .
a kind worker made a card for an actress .,a kind worker made an actress a card .,the hero brought the book to the partner .,the hero brought the partner the book .
a silly professor made a motor for a lawyer .,a silly professor made a lawyer a motor .,the hero brought the book to the partner .,the hero brought the partner the book .
a wonderful physician drew a machine for a daughter .,a wonderful physician drew a daughter a machine .,the hero brought the book to the partner .,the hero brought the partner the book .
an insane actor promised a chicken to a reader .,an insane actor promised a reader a chicken .,the prince made the wire for the worker .,the prince made the worker the wire .
a healthy reader took a flower to a lawyer .,a healthy reader took a lawyer a flower .,the prince made the wire for the worker .,the prince made the worker the wire .
a friendly president sold a salad to a company .,a friendly president sold a company a salad .,the prince made the wire for the worker .,the prince made the worker the wire .
a guilty singer showed a beer to a daughter .,a guilty singer showed a daughter a beer .,the prince made the wire for the worker .,the prince made the worker the wire .
a drunk candidate fed a chicken to a partner .,a drunk candidate fed a partner a chicken .,the prince made the wire for the worker .,the prince made the worker the wire .
a rough doctor took a flower to a boy .,a rough doctor took a boy a flower .,the prince made the wire for the worker .,the prince made the worker the wire .
a dangerous nurse promised a chocolate to a wife .,a dangerous nurse promised a wife a chocolate .,the prince made the wire for the worker .,the prince made the worker the wire .
a foreign writer brought a camera to a husband .,a foreign writer brought a husband a camera .,the prince made the wire for the worker .,the prince made the worker the wire .
a nervous reader took a bell to a brother .,a nervous reader took a brother a bell .,the prince made the wire for the worker .,the prince made the worker the wire .
a strong minister supplied a cup to a father .,a strong minister supplied a father a cup .,the prince made the wire for the worker .,the prince made the worker the wire .
the sick physician got the machine for the friend .,the sick physician got the friend the machine .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the hungry parent kept the beer for the wife .,the hungry parent kept the wife the beer .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the fair manager drew the knife for the administration .,the fair manager drew the administration the knife .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the fantastic champion drew the cup for the club .,the fantastic champion drew the club the cup .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the healthy champion delivered the beer for the cousin .,the healthy champion delivered the cousin the beer .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the helpful priest found the computer for the club .,the helpful priest found the club the computer .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
the drunk lady made the bottle for the band .,the drunk lady made the band the bottle .,a captain showed an anchor to a pilot .,a captain showed a pilot an anchor .
