ppo, pdo, tpo, tdo
the actor made the bell for the administration .,the actor made the administration the bell .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the student purchased the meal for the administration .,the student purchased the administration the meal .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the soldier purchased the coat for the administration .,the soldier purchased the administration the coat .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the husband made the bag for the administration .,the husband made the administration the bag .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the daughter bought the coffee for the priest .,the daughter bought the priest the coffee .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the actor purchased the coffee for the pilot .,the actor purchased the pilot the coffee .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the candidate found the coffee for the daughter .,the candidate found the daughter the coffee .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the employee drew the key for the corporation .,the employee drew the corporation the key .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the cop bought the coffee for the mayor .,the cop bought the mayor the coffee .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the leader made the flower for the administration .,the leader made the administration the flower .,an employee sent a coffee to an administration .,an employee sent an administration a coffee .
the secretary showed the bell to the adult .,the secretary showed the adult the bell .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the leader supplied the coat to the adult .,the leader supplied the adult the coat .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the actor sent the pie to the adult .,the actor sent the adult the pie .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the employee brought the hat to the adult .,the employee brought the adult the hat .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the doctor brought the pie to the adult .,the doctor brought the adult the pie .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the aunt took the cigarette to the cop .,the aunt took the cop the cigarette .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the professor took the cigarette to the actor .,the professor took the actor the cigarette .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the guest took the cigarette to the aunt .,the guest took the aunt the cigarette .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the buddy took the cigarette to the colonel .,the buddy took the colonel the cigarette .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
the wife took the cigarette to the hero .,the wife took the hero the cigarette .,a father designed a cigarette for an adult .,a father designed an adult a cigarette .
