pa, pp, ta, tp
the woman judged the parent .,the parent was judged by the woman .,a candidate leads a company .,a company is led by a candidate .
the administration protected the mother .,the mother was protected by the administration .,a candidate leads a company .,a company is led by a candidate .
the hero forgot the tea .,the tea was forgotten by the hero .,a candidate leads a company .,a company is led by a candidate .
the chief tasted the cheese .,the cheese was tasted by the chief .,a candidate leads a company .,a company is led by a candidate .
the pilot chased the bishop .,the bishop was chased by the pilot .,a candidate leads a company .,a company is led by a candidate .
the uncle smelled the computer .,the computer was smelled by the uncle .,a candidate leads a company .,a company is led by a candidate .
the guy discovered the bowl .,the bowl was discovered by the guy .,a candidate leads a company .,a company is led by a candidate .
the teacher described the mother .,the mother was described by the teacher .,a candidate leads a company .,a company is led by a candidate .
the army used the plate .,the plate was used by the army .,a candidate leads a company .,a company is led by a candidate .
the actor destroyed the tea .,the tea was destroyed by the actor .,a candidate leads a company .,a company is led by a candidate .
a mayor describes a plate .,a plate is described by a mayor .,the friend embraced the soldier .,the soldier was embraced by the friend .
a candidate kills a hero .,a hero is killed by a candidate .,the friend embraced the soldier .,the soldier was embraced by the friend .
a sheriff hurries a kid .,a kid is hurried by a sheriff .,the friend embraced the soldier .,the soldier was embraced by the friend .
an employer selects a salad .,a salad is selected by an employer .,the friend embraced the soldier .,the soldier was embraced by the friend .
a woman smells a meal .,a meal is smelled by a woman .,the friend embraced the soldier .,the soldier was embraced by the friend .
a guy wraps a key .,a key is wrapped by a guy .,the friend embraced the soldier .,the soldier was embraced by the friend .
an attorney grabs an actor .,an actor is grabbed by an attorney .,the friend embraced the soldier .,the soldier was embraced by the friend .
a parent grabs a salad .,a salad is grabbed by a parent .,the friend embraced the soldier .,the soldier was embraced by the friend .
a student grabs a candy .,a candy is grabbed by a student .,the friend embraced the soldier .,the soldier was embraced by the friend .
a leader forgets a crystal .,a crystal is forgotten by a leader .,the friend embraced the soldier .,the soldier was embraced by the friend .
the mayor understands the princess .,the princess is understood by the mayor .,a buddy kissed a child .,a child was kissed by a buddy .
the aunt leaves the camera .,the camera is left by the aunt .,a buddy kissed a child .,a child was kissed by a buddy .
the sheriff helps the author .,the author is helped by the sheriff .,a buddy kissed a child .,a child was kissed by a buddy .
the opponent hurries the reader .,the reader is hurried by the opponent .,a buddy kissed a child .,a child was kissed by a buddy .
the professor tastes the cheese .,the cheese is tasted by the professor .,a buddy kissed a child .,a child was kissed by a buddy .
the scientist eats the salad .,the salad is eaten by the scientist .,a buddy kissed a child .,a child was kissed by a buddy .
the aunt carries the salad .,the salad is carried by the aunt .,a buddy kissed a child .,a child was kissed by a buddy .
the teacher forgets the coffee .,the coffee is forgotten by the teacher .,a buddy kissed a child .,a child was kissed by a buddy .
the sheriff selects the bishop .,the bishop is selected by the sheriff .,a buddy kissed a child .,a child was kissed by a buddy .
the actor teaches the worker .,the worker is taught by the actor .,a buddy kissed a child .,a child was kissed by a buddy .
the girl comforts the colonel .,the colonel is comforted by the girl .,a doctor drank a juice .,a juice was drunk by a doctor .
the child washes the instrument .,the instrument is washed by the child .,a doctor drank a juice .,a juice was drunk by a doctor .
the buddy tastes the salad .,the salad is tasted by the buddy .,a doctor drank a juice .,a juice was drunk by a doctor .
the hero kills the girl .,the girl is killed by the hero .,a doctor drank a juice .,a juice was drunk by a doctor .
the prince grabs the salad .,the salad is grabbed by the prince .,a doctor drank a juice .,a juice was drunk by a doctor .
the aunt tastes the chicken .,the chicken is tasted by the aunt .,a doctor drank a juice .,a juice was drunk by a doctor .
the partner follows the business .,the business is followed by the partner .,a doctor drank a juice .,a juice was drunk by a doctor .
the champion asks the king .,the king is asked by the champion .,a doctor drank a juice .,a juice was drunk by a doctor .
the captain catches the jacket .,the jacket is caught by the captain .,a doctor drank a juice .,a juice was drunk by a doctor .
the cop tastes the chocolate .,the chocolate is tasted by the cop .,a doctor drank a juice .,a juice was drunk by a doctor .
a hero bothers a colonel .,a colonel is bothered by a hero .,the minister purchased the beer .,the beer was purchased by the minister .
a cousin selects a cheese .,a cheese is selected by a cousin .,the minister purchased the beer .,the beer was purchased by the minister .
a colonel wraps an engine .,an engine is wrapped by a colonel .,the minister purchased the beer .,the beer was purchased by the minister .
a champion prepares a book .,a book is prepared by a champion .,the minister purchased the beer .,the beer was purchased by the minister .
a professor catches a box .,a box is caught by a professor .,the minister purchased the beer .,the beer was purchased by the minister .
a cop raises a cousin .,a cousin is raised by a cop .,the minister purchased the beer .,the beer was purchased by the minister .
a mother smells a salad .,a salad is smelled by a mother .,the minister purchased the beer .,the beer was purchased by the minister .
a teacher comforts a partner .,a partner is comforted by a teacher .,the minister purchased the beer .,the beer was purchased by the minister .
a writer catches an adult .,an adult is caught by a writer .,the minister purchased the beer .,the beer was purchased by the minister .
an attorney hurts a club .,a club is hurt by an attorney .,the minister purchased the beer .,the beer was purchased by the minister .
a parent bothers a band .,a band is bothered by a parent .,the guy removed the motor .,the motor was removed by the guy .
a champion kills a physician .,a physician is killed by a champion .,the guy removed the motor .,the motor was removed by the guy .
a nurse judges a corporation .,a corporation is judged by a nurse .,the guy removed the motor .,the motor was removed by the guy .
a writer protects a hero .,a hero is protected by a writer .,the guy removed the motor .,the motor was removed by the guy .
a father grabs a candy .,a candy is grabbed by a father .,the guy removed the motor .,the motor was removed by the guy .
a cop smells a salad .,a salad is smelled by a cop .,the guy removed the motor .,the motor was removed by the guy .
a pilot carries a tea .,a tea is carried by a pilot .,the guy removed the motor .,the motor was removed by the guy .
