pa, pp, ta, tp
a worker smells a tea .,a tea is smelled by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
a man carries a hat .,a hat is carried by a man .,the worker grabbed the hat .,the hat was grabbed by the worker .
a worker joins a business .,a business is joined by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
a worker bothers a business .,a business is bothered by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
a worker removes a camera .,a camera is removed by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
a writer describes a hat .,a hat is described by a writer .,the worker grabbed the hat .,the hat was grabbed by the worker .
a prince describes a hat .,a hat is described by a prince .,the worker grabbed the hat .,the hat was grabbed by the worker .
a worker selects a chocolate .,a chocolate is selected by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
a friend destroys a hat .,a hat is destroyed by a friend .,the worker grabbed the hat .,the hat was grabbed by the worker .
a worker prepares a juice .,a juice is prepared by a worker .,the worker grabbed the hat .,the hat was grabbed by the worker .
the son embraced the professor .,the professor was embraced by the son .,a worker beats a professor .,a professor is beaten by a worker .
the writer understood the professor .,the professor was understood by the writer .,a worker beats a professor .,a professor is beaten by a worker .
the worker understood the son .,the son was understood by the worker .,a worker beats a professor .,a professor is beaten by a worker .
the winner punched the professor .,the professor was punched by the winner .,a worker beats a professor .,a professor is beaten by a worker .
the buddy comforted the professor .,the professor was comforted by the buddy .,a worker beats a professor .,a professor is beaten by a worker .
the business helped the professor .,the professor was helped by the business .,a worker beats a professor .,a professor is beaten by a worker .
the worker prepared the salad .,the salad was prepared by the worker .,a worker beats a professor .,a professor is beaten by a worker .
the worker punched the lady .,the lady was punched by the worker .,a worker beats a professor .,a professor is beaten by a worker .
the worker understood the teacher .,the teacher was understood by the worker .,a worker beats a professor .,a professor is beaten by a worker .
the worker raised the coffee .,the coffee was raised by the worker .,a worker beats a professor .,a professor is beaten by a worker .
a mother washed a manager .,a manager was washed by a mother .,the opponent drags the manager .,the manager is dragged by the opponent .
a cop washed a manager .,a manager was washed by a cop .,the opponent drags the manager .,the manager is dragged by the opponent .
an opponent surprised a brother .,a brother was surprised by an opponent .,the opponent drags the manager .,the manager is dragged by the opponent .
a man washed a manager .,a manager was washed by a man .,the opponent drags the manager .,the manager is dragged by the opponent .
an opponent selected a computer .,a computer was selected by an opponent .,the opponent drags the manager .,the manager is dragged by the opponent .
an opponent judged an administration .,an administration was judged by an opponent .,the opponent drags the manager .,the manager is dragged by the opponent .
an opponent asked a band .,a band was asked by an opponent .,the opponent drags the manager .,the manager is dragged by the opponent .
a pilot washed a manager .,a manager was washed by a pilot .,the opponent drags the manager .,the manager is dragged by the opponent .
an attorney washed a manager .,a manager was washed by an attorney .,the opponent drags the manager .,the manager is dragged by the opponent .
an opponent smelled a cup .,a cup was smelled by an opponent .,the opponent drags the manager .,the manager is dragged by the opponent .
a secretary kills a guy .,a guy is killed by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary forgets an aunt .,an aunt is forgotten by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary collects a cheese .,a cheese is collected by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary tastes a chocolate .,a chocolate is tasted by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary accepts a pot .,a pot is accepted by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary teaches a woman .,a woman is taught by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a secretary destroys a prince .,a prince is destroyed by a secretary .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a son raises a tea .,a tea is raised by a son .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a princess describes a tea .,a tea is described by a princess .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
a king describes a tea .,a tea is described by a king .,the secretary grabbed the tea .,the tea was grabbed by the secretary .
the brother understood the teacher .,the teacher was understood by the brother .,a student surprises a teacher .,a teacher is surprised by a student .
the student drank the juice .,the juice was drunk by the student .,a student surprises a teacher .,a teacher is surprised by a student .
