pa, pp, ta, tp
the modern woman judged the parent .,the parent was judged by the modern woman .,a scary candidate leads a company .,a company is led by a scary candidate .
the honest administration protected the mother .,the mother was protected by the honest administration .,a mad candidate leads a company .,a company is led by a mad candidate .
the willing hero forgot the tea .,the tea was forgotten by the willing hero .,a ill candidate leads a company .,a company is led by a ill candidate .
the sick chief tasted the cheese .,the cheese was tasted by the sick chief .,a fair candidate leads a company .,a company is led by a fair candidate .
the gentle pilot chased the bishop .,the bishop was chased by the gentle pilot .,a sweet candidate leads a company .,a company is led by a sweet candidate .
the intelligent uncle smelled the computer .,the computer was smelled by the intelligent uncle .,a foreign candidate leads a company .,a company is led by a foreign candidate .
the weird guy discovered the bowl .,the bowl was discovered by the weird guy .,a guilty candidate leads a company .,a company is led by a guilty candidate .
the nice teacher described the mother .,the mother was described by the nice teacher .,a busy candidate leads a company .,a company is led by a busy candidate .
the excellent army used the plate .,the plate was used by the excellent army .,a creative candidate leads a company .,a company is led by a creative candidate .
the evil actor destroyed the tea .,the tea was destroyed by the evil actor .,a criminal candidate leads a company .,a company is led by a criminal candidate .
a beautiful mayor describes a plate .,a plate is described by a beautiful mayor .,the wonderful friend embraced the soldier .,the soldier was embraced by the wonderful friend .
a willing candidate kills a hero .,a hero is killed by a willing candidate .,the cool friend embraced the soldier .,the soldier was embraced by the cool friend .
a criminal sheriff hurries a kid .,a kid is hurried by a criminal sheriff .,the funny friend embraced the soldier .,the soldier was embraced by the funny friend .
an alert employer selects a salad .,a salad is selected by an alert employer .,the ordinary friend embraced the soldier .,the soldier was embraced by the ordinary friend .
a guilty woman smells a meal .,a meal is smelled by a guilty woman .,the french friend embraced the soldier .,the soldier was embraced by the french friend .
a rough guy wraps a key .,a key is wrapped by a rough guy .,the crazy friend embraced the soldier .,the soldier was embraced by the crazy friend .
an awful attorney grabs an actor .,an actor is grabbed by an awful attorney .,the loving friend embraced the soldier .,the soldier was embraced by the loving friend .
a spanish parent grabs a salad .,a salad is grabbed by a spanish parent .,the happy friend embraced the soldier .,the soldier was embraced by the happy friend .
a holy student grabs a candy .,a candy is grabbed by a holy student .,the tired friend embraced the soldier .,the soldier was embraced by the tired friend .
a powerful leader forgets a crystal .,a crystal is forgotten by a powerful leader .,the weird friend embraced the soldier .,the soldier was embraced by the weird friend .
the willing mayor understands the princess .,the princess is understood by the willing mayor .,a wise buddy kissed a child .,a child was kissed by a wise buddy .
the honest aunt leaves the camera .,the camera is left by the honest aunt .,a fantastic buddy kissed a child .,a child was kissed by a fantastic buddy .
the silent sheriff helps the author .,the author is helped by the silent sheriff .,a generous buddy kissed a child .,a child was kissed by a generous buddy .
the important opponent hurries the reader .,the reader is hurried by the important opponent .,a rich buddy kissed a child .,a child was kissed by a rich buddy .
the normal professor tastes the cheese .,the cheese is tasted by the normal professor .,a famous buddy kissed a child .,a child was kissed by a famous buddy .
the gentle scientist eats the salad .,the salad is eaten by the gentle scientist .,a responsible buddy kissed a child .,a child was kissed by a responsible buddy .
the honest aunt carries the salad .,the salad is carried by the honest aunt .,a wise buddy kissed a child .,a child was kissed by a wise buddy .
the gentle teacher forgets the coffee .,the coffee is forgotten by the gentle teacher .,a jewish buddy kissed a child .,a child was kissed by a jewish buddy .
the crazy sheriff selects the bishop .,the bishop is selected by the crazy sheriff .,a sexy buddy kissed a child .,a child was kissed by a sexy buddy .
the athletic actor teaches the worker .,the worker is taught by the athletic actor .,a bad buddy kissed a child .,a child was kissed by a bad buddy .
the peaceful girl comforts the colonel .,the colonel is comforted by the peaceful girl .,a creative doctor drank a juice .,a juice was drunk by a creative doctor .
the bad child washes the instrument .,the instrument is washed by the bad child .,a happy doctor drank a juice .,a juice was drunk by a happy doctor .
the sad buddy tastes the salad .,the salad is tasted by the sad buddy .,a spanish doctor drank a juice .,a juice was drunk by a spanish doctor .
the rich hero kills the girl .,the girl is killed by the rich hero .,a wonderful doctor drank a juice .,a juice was drunk by a wonderful doctor .
the wise prince grabs the salad .,the salad is grabbed by the wise prince .,a catholic doctor drank a juice .,a juice was drunk by a catholic doctor .
the excited aunt tastes the chicken .,the chicken is tasted by the excited aunt .,a friendly doctor drank a juice .,a juice was drunk by a friendly doctor .
the great partner follows the business .,the business is followed by the great partner .,a tough doctor drank a juice .,a juice was drunk by a tough doctor .
the curious champion asks the king .,the king is asked by the curious champion .,a handsome doctor drank a juice .,a juice was drunk by a handsome doctor .
the southern captain catches the jacket .,the jacket is caught by the southern captain .,a sweet doctor drank a juice .,a juice was drunk by a sweet doctor .
the sensitive cop tastes the chocolate .,the chocolate is tasted by the sensitive cop .,a beautiful doctor drank a juice .,a juice was drunk by a beautiful doctor .
a fantastic hero bothers a colonel .,a colonel is bothered by a fantastic hero .,the calm minister purchased the beer .,the beer was purchased by the calm minister .
a peaceful cousin selects a cheese .,a cheese is selected by a peaceful cousin .,the patient minister purchased the beer .,the beer was purchased by the patient minister .
a sweet colonel wraps an engine .,an engine is wrapped by a sweet colonel .,the odd minister purchased the beer .,the beer was purchased by the odd minister .
a criminal champion prepares a book .,a book is prepared by a criminal champion .,the silent minister purchased the beer .,the beer was purchased by the silent minister .
a pale professor catches a box .,a box is caught by a pale professor .,the peaceful minister purchased the beer .,the beer was purchased by the peaceful minister .
a nice cop raises a cousin .,a cousin is raised by a nice cop .,the modest minister purchased the beer .,the beer was purchased by the modest minister .
a ridiculous mother smells a salad .,a salad is smelled by a ridiculous mother .,the cute minister purchased the beer .,the beer was purchased by the cute minister .
a modern teacher comforts a partner .,a partner is comforted by a modern teacher .,the bad minister purchased the beer .,the beer was purchased by the bad minister .
a innocent writer catches an adult .,an adult is caught by a innocent writer .,the proud minister purchased the beer .,the beer was purchased by the proud minister .
an italian attorney hurts a club .,a club is hurt by an italian attorney .,the drunk minister purchased the beer .,the beer was purchased by the drunk minister .
a silent parent bothers a band .,a band is bothered by a silent parent .,the fantastic guy removed the motor .,the motor was removed by the fantastic guy .
a sensitive champion kills a physician .,a physician is killed by a sensitive champion .,the nice guy removed the motor .,the motor was removed by the nice guy .
a glad nurse judges a corporation .,a corporation is judged by a glad nurse .,the sweet guy removed the motor .,the motor was removed by the sweet guy .
a french writer protects a hero .,a hero is protected by a french writer .,the gentle guy removed the motor .,the motor was removed by the gentle guy .
a hungry father grabs a candy .,a candy is grabbed by a hungry father .,the violent guy removed the motor .,the motor was removed by the violent guy .
a willing cop smells a salad .,a salad is smelled by a willing cop .,the cute guy removed the motor .,the motor was removed by the cute guy .
a weird pilot carries a tea .,a tea is carried by a weird pilot .,the fair guy removed the motor .,the motor was removed by the fair guy .
a odd friend accepts an anchor .,an anchor is accepted by a odd friend .,the pale guy removed the motor .,the motor was removed by the pale guy .
a blind king describes an anchor .,an anchor is described by a blind king .,the fantastic guy removed the motor .,the motor was removed by the fantastic guy .
a sweet chief kisses a candidate .,a candidate is kissed by a sweet chief .,the tough guy removed the motor .,the motor was removed by the tough guy .
the modest chief described the engine .,the engine was described by the modest chief .,a religious teacher carries a soldier .,a soldier is carried by a religious teacher .
the poor singer asked the writer .,the writer was asked by the poor singer .,a rough teacher carries a soldier .,a soldier is carried by a rough teacher .
the english uncle bothered the actor .,the actor was bothered by the english uncle .,a guilty teacher carries a soldier .,a soldier is carried by a guilty teacher .
the jewish physician destroyed the tea .,the tea was destroyed by the jewish physician .,a strange teacher carries a soldier .,a soldier is carried by a strange teacher .
the scary bishop collected the motor .,the motor was collected by the scary bishop .,a busy teacher carries a soldier .,a soldier is carried by a busy teacher .
the sick guy left the key .,the key was left by the sick guy .,a spanish teacher carries a soldier .,a soldier is carried by a spanish teacher .
the stupid child joined the mayor .,the mayor was joined by the stupid child .,a nice teacher carries a soldier .,a soldier is carried by a nice teacher .
the helpful son kept the juice .,the juice was kept by the helpful son .,a good teacher carries a soldier .,a soldier is carried by a good teacher .
the brilliant son beat the father .,the father was beaten by the brilliant son .,a powerful teacher carries a soldier .,a soldier is carried by a powerful teacher .
the guilty secretary judged the club .,the club was judged by the guilty secretary .,a criminal teacher carries a soldier .,a soldier is carried by a criminal teacher .
an evil author removed a television .,a television was removed by an evil author .,the calm parent discovers the candy .,the candy is discovered by the calm parent .
an afraid employer hurried a champion .,a champion was hurried by an afraid employer .,the tired parent discovers the candy .,the candy is discovered by the tired parent .
a good friend chased a business .,a business was chased by a good friend .,the creative parent discovers the candy .,the candy is discovered by the creative parent .
a strange worker judged a business .,a business was judged by a strange worker .,the poor parent discovers the candy .,the candy is discovered by the poor parent .
a ridiculous singer embraced a wife .,a wife was embraced by a ridiculous singer .,the horrible parent discovers the candy .,the candy is discovered by the horrible parent .
a sophisticated secretary selected a coffee .,a coffee was selected by a sophisticated secretary .,the gentle parent discovers the candy .,the candy is discovered by the gentle parent .
an important employer punched a soldier .,a soldier was punched by an important employer .,the holy parent discovers the candy .,the candy is discovered by the holy parent .
a holy professor dragged a chief .,a chief was dragged by a holy professor .,the pale parent discovers the candy .,the candy is discovered by the pale parent .
a sensitive reader followed a singer .,a singer was followed by a sensitive reader .,the sophisticated parent discovers the candy .,the candy is discovered by the sophisticated parent .
an awesome actress dragged a bottle .,a bottle was dragged by an awesome actress .,the bad parent discovers the candy .,the candy is discovered by the bad parent .
the friendly parent tastes the meal .,the meal is tasted by the friendly parent .,a drunk doctor raised a tea .,a tea was raised by a drunk doctor .
the angry author surprises the captain .,the captain is surprised by the angry author .,a sensitive doctor raised a tea .,a tea was raised by a sensitive doctor .
the bad man tastes the salad .,the salad is tasted by the bad man .,a calm doctor raised a tea .,a tea was raised by a calm doctor .
the drunk candidate leads the business .,the business is led by the drunk candidate .,a ill doctor raised a tea .,a tea was raised by a ill doctor .
the cute buddy hurries the parent .,the parent is hurried by the cute buddy .,a poor doctor raised a tea .,a tea was raised by a poor doctor .
the brave mother eats the chocolate .,the chocolate is eaten by the brave mother .,a reliable doctor raised a tea .,a tea was raised by a reliable doctor .
the emotional aunt smells the knife .,the knife is smelled by the emotional aunt .,a tired doctor raised a tea .,a tea was raised by a tired doctor .
the weird son uses the bowl .,the bowl is used by the weird son .,a gentle doctor raised a tea .,a tea was raised by a gentle doctor .
the fantastic bishop follows the corporation .,the corporation is followed by the fantastic bishop .,a scary doctor raised a tea .,a tea was raised by a scary doctor .
the criminal worker removes the television .,the television is removed by the criminal worker .,a nervous doctor raised a tea .,a tea was raised by a nervous doctor .
a rich mayor grabbed a newspaper .,a newspaper was grabbed by a rich mayor .,the drunk teacher hurries the princess .,the princess is hurried by the drunk teacher .
an excellent actor drank a juice .,a juice was drunk by an excellent actor .,the brave teacher hurries the princess .,the princess is hurried by the brave teacher .
a catholic company protected a nurse .,a nurse was protected by a catholic company .,the fair teacher hurries the princess .,the princess is hurried by the fair teacher .
an excellent employer comforted a son .,a son was comforted by an excellent employer .,the horrible teacher hurries the princess .,the princess is hurried by the horrible teacher .
a crazy winner left a bowl .,a bowl was left by a crazy winner .,the pale teacher hurries the princess .,the princess is hurried by the pale teacher .
a southern champion dragged a machine .,a machine was dragged by a southern champion .,the proud teacher hurries the princess .,the princess is hurried by the proud teacher .
a responsible manager understood a writer .,a writer was understood by a responsible manager .,the holy teacher hurries the princess .,the princess is hurried by the holy teacher .
